employee_id,event_date,event_type,detail
175,2012-07-01,INITIAL,initial
176,2010-11-01,INITIAL,initial
177,2015-08-01,INITIAL,initial
178,2014-08-01,INITIAL,initial
179,2012-10-01,INITIAL,initial
180,2011-09-01,INITIAL,initial
181,2016-01-01,INITIAL,initial
182,2012-07-01,INITIAL,initial
183,2002-01-01,INITIAL,initial
184,2015-03-01,INITIAL,initial
185,2015-10-01,INITIAL,initial
186,2015-01-01,INITIAL,initial
187,2003-10-01,INITIAL,initial
188,2015-02-01,INITIAL,initial
189,2009-05-01,INITIAL,initial
190,2015-12-01,INITIAL,initial
191,2012-07-01,INITIAL,initial
192,2010-05-01,INITIAL,initial
193,2012-07-01,INITIAL,initial
194,2011-03-01,INITIAL,initial
195,2014-12-01,INITIAL,initial
196,2015-03-01,INITIAL,initial
197,2014-12-01,INITIAL,initial
198,2016-01-01,INITIAL,initial
199,2003-09-01,INITIAL,initial
200,2005-04-01,INITIAL,initial
201,2009-03-01,INITIAL,initial
202,2013-02-01,INITIAL,initial
203,2014-12-01,INITIAL,initial
204,2015-02-01,INITIAL,initial
205,2009-08-01,INITIAL,initial
206,2015-11-01,INITIAL,initial
207,2011-12-01,INITIAL,initial
208,2014-02-01,INITIAL,initial
209,2015-09-01,INITIAL,initial
210,2015-09-01,INITIAL,initial
211,2008-09-01,INITIAL,initial
212,2014-12-01,INITIAL,initial
213,2015-06-01,INITIAL,initial
214,2012-11-01,INITIAL,initial
215,2014-11-01,INITIAL,initial
216,2013-01-01,INITIAL,initial
217,2009-09-01,INITIAL,initial
218,2010-01-01,INITIAL,initial
219,2014-12-01,INITIAL,initial
220,2010-08-01,INITIAL,initial
221,2015-05-01,INITIAL,initial
222,2015-09-01,INITIAL,initial
223,2014-11-01,INITIAL,initial
224,2010-12-01,INITIAL,initial
225,2014-04-01,INITIAL,initial
226,2013-08-01,INITIAL,initial
227,2015-02-01,INITIAL,initial
228,2015-04-01,INITIAL,initial
229,2011-11-01,INITIAL,initial
230,2014-05-01,INITIAL,initial
231,2015-09-01,INITIAL,initial
232,2009-04-01,INITIAL,initial
233,2015-04-01,INITIAL,initial
234,2015-11-01,INITIAL,initial
235,2015-09-01,INITIAL,initial
236,2014-10-01,INITIAL,initial
237,2013-09-01,INITIAL,initial
238,2015-12-01,INITIAL,initial
239,2015-11-01,INITIAL,initial
240,2009-10-01,INITIAL,initial
241,2015-11-01,INITIAL,initial
242,2014-12-01,INITIAL,initial
243,2010-09-01,INITIAL,initial
244,2015-05-01,INITIAL,initial
245,2011-01-01,INITIAL,initial
246,1998-08-01,INITIAL,initial
247,2012-06-01,INITIAL,initial
248,2015-05-01,INITIAL,initial
249,2013-09-01,INITIAL,initial
250,2016-01-01,INITIAL,initial
251,2014-04-01,INITIAL,initial
252,2015-07-01,INITIAL,initial
253,2015-07-01,INITIAL,initial
254,2011-02-01,INITIAL,initial
255,2015-05-01,INITIAL,initial
256,2015-10-01,INITIAL,initial
257,2011-12-01,INITIAL,initial
258,2015-10-01,INITIAL,initial
259,2015-02-01,INITIAL,initial
260,2014-02-01,INITIAL,initial
261,2013-05-01,INITIAL,initial
262,2013-05-01,INITIAL,initial
263,2014-12-01,INITIAL,initial
264,2011-05-01,INITIAL,initial
265,2015-04-01,INITIAL,initial
266,2015-11-01,INITIAL,initial
267,2016-01-01,INITIAL,initial
268,2011-09-01,INITIAL,initial
269,2015-03-01,INITIAL,initial
270,2013-02-01,INITIAL,initial
271,2015-07-01,INITIAL,initial
272,2015-07-01,INITIAL,initial
273,2011-08-01,INITIAL,initial
274,2015-06-01,INITIAL,initial
275,2015-06-01,INITIAL,initial
276,2015-01-01,INITIAL,initial
277,2013-10-01,INITIAL,initial
278,2015-07-01,INITIAL,initial
279,2009-03-01,INITIAL,initial
280,2015-01-01,INITIAL,initial
281,2014-01-01,INITIAL,initial
282,2015-05-01,INITIAL,initial
283,2015-08-01,INITIAL,initial
284,2015-12-01,INITIAL,initial
285,2013-07-01,INITIAL,initial
286,2012-09-01,INITIAL,initial
287,2014-08-01,INITIAL,initial
288,2014-12-01,INITIAL,initial
289,2011-09-01,INITIAL,initial
290,2013-05-01,INITIAL,initial
291,2014-08-01,INITIAL,initial
292,2014-09-01,INITIAL,initial
293,2014-11-01,INITIAL,initial
294,2012-11-01,INITIAL,initial
295,2010-06-01,INITIAL,initial
296,2009-07-01,INITIAL,initial
297,2015-11-01,INITIAL,initial
298,2015-08-01,INITIAL,initial
299,2015-03-01,INITIAL,initial
300,2015-04-01,INITIAL,initial
301,2012-03-01,INITIAL,initial
302,2008-03-01,INITIAL,initial
303,2013-07-01,INITIAL,initial
304,2014-04-01,INITIAL,initial
305,2015-10-01,INITIAL,initial
306,2014-08-01,INITIAL,initial
307,2014-11-01,INITIAL,initial
308,2012-02-01,INITIAL,initial
309,2010-11-01,INITIAL,initial
310,2013-03-01,INITIAL,initial
311,2015-03-01,INITIAL,initial
312,2003-05-01,INITIAL,initial
313,2013-01-01,INITIAL,initial
314,2012-09-01,INITIAL,initial
315,2015-02-01,INITIAL,initial
316,2014-11-01,INITIAL,initial
317,2013-11-01,INITIAL,initial
318,2010-11-01,INITIAL,initial
319,2004-05-01,INITIAL,initial
320,2014-10-01,INITIAL,initial
321,2010-11-01,INITIAL,initial
322,2014-12-01,INITIAL,initial
323,2013-11-01,INITIAL,initial
324,2010-06-01,INITIAL,initial
325,2015-10-01,INITIAL,initial
326,2012-06-01,INITIAL,initial
327,2006-05-01,INITIAL,initial
328,2015-11-01,INITIAL,initial
329,2012-08-01,INITIAL,initial
330,2010-03-01,INITIAL,initial
331,2015-09-01,INITIAL,initial
332,2015-09-01,INITIAL,initial
333,2005-09-01,INITIAL,initial
334,2014-06-01,INITIAL,initial
335,2015-09-01,INITIAL,initial
336,2014-06-01,INITIAL,initial
337,2015-04-01,INITIAL,initial
338,2013-05-01,INITIAL,initial
339,2015-12-01,INITIAL,initial
340,2014-10-01,INITIAL,initial
341,2014-09-01,INITIAL,initial
342,2013-11-01,INITIAL,initial
343,2013-12-01,INITIAL,initial
344,2015-09-01,INITIAL,initial
345,2012-06-01,INITIAL,initial
346,2011-03-01,INITIAL,initial
347,2014-06-01,INITIAL,initial
348,2013-10-01,INITIAL,initial
349,2012-10-01,INITIAL,initial
350,2014-08-01,INITIAL,initial
351,2014-10-01,INITIAL,initial
352,2013-09-01,INITIAL,initial
353,2015-05-01,INITIAL,initial
354,2009-07-01,INITIAL,initial
355,2015-08-01,INITIAL,initial
356,2012-06-01,INITIAL,initial
357,2012-12-01,INITIAL,initial
358,2015-10-01,INITIAL,initial
359,2014-08-01,INITIAL,initial
360,2013-12-01,INITIAL,initial
361,2015-12-01,INITIAL,initial
362,2014-02-01,INITIAL,initial
363,2014-09-01,INITIAL,initial
364,2015-05-01,INITIAL,initial
365,2013-11-01,INITIAL,initial
366,2011-03-01,INITIAL,initial
367,2016-01-01,INITIAL,initial
368,2013-07-01,INITIAL,initial
369,2010-11-01,INITIAL,initial
370,2015-08-01,INITIAL,initial
371,2011-08-01,INITIAL,initial
372,2015-09-01,INITIAL,initial
373,2012-08-01,INITIAL,initial
374,2014-08-01,INITIAL,initial
375,2013-01-01,INITIAL,initial
376,2015-11-01,INITIAL,initial
377,2013-03-01,INITIAL,initial
378,2013-01-01,INITIAL,initial
379,2014-08-01,INITIAL,initial
380,2012-06-01,INITIAL,initial
99,2016-01-23,TERMINATION,Retirement
157,2016-01-21,TERMINATION,Performance
180,2016-01-26,TERMINATION,Layoff
184,2016-01-18,TERMINATION,Layoff
284,2016-01-16,TERMINATION,Other
334,2016-01-21,TERMINATION,Redundancy
353,2016-01-26,TERMINATION,Redundancy
58,2016-01-17,TERMINATION,Resignation
67,2016-01-27,TERMINATION,Resignation
164,2016-01-28,TERMINATION,Resignation
381,2016-01-03,HIRE,organic
382,2016-01-11,HIRE,organic
383,2016-01-12,HIRE,organic
384,2016-01-08,HIRE,organic
385,2016-01-04,HIRE,organic
386,2016-01-02,HIRE,organic
387,2016-01-01,HIRE,organic
388,2016-01-14,HIRE,organic
389,2016-01-04,HIRE,organic
390,2016-01-06,HIRE,organic
85,2016-01-15,TRANSFER,IC1
104,2016-01-15,TRANSFER,IC1
359,2016-01-15,LATERAL_MOVE,IC1
112,2016-02-23,TERMINATION,Retirement
219,2016-02-24,TERMINATION,Retirement
311,2016-02-17,TERMINATION,Retirement
376,2016-02-24,TERMINATION,Resignation
222,2016-02-18,TERMINATION,Resignation
304,2016-02-19,TERMINATION,Retirement
350,2016-02-22,TERMINATION,Retirement
391,2016-02-13,HIRE,organic
392,2016-02-05,HIRE,organic
393,2016-02-04,HIRE,organic
394,2016-02-05,HIRE,organic
395,2016-02-07,HIRE,organic
396,2016-02-06,HIRE,organic
397,2016-02-07,HIRE,organic
398,2016-02-04,HIRE,organic
399,2016-02-14,HIRE,organic
400,2016-02-14,HIRE,organic
2,2016-02-15,TRANSFER,IC3
387,2016-02-15,LATERAL_MOVE,IC1
35,2016-03-19,TERMINATION,Resignation
41,2016-03-19,TERMINATION,Retirement
52,2016-03-24,TERMINATION,Retirement
190,2016-03-21,TERMINATION,Redundancy
211,2016-03-26,TERMINATION,Layoff
39,2016-03-18,TERMINATION,Performance
266,2016-03-19,TERMINATION,Other
234,2016-03-19,TERMINATION,Resignation
147,2016-03-23,TERMINATION,Retirement
401,2016-03-07,HIRE,organic
402,2016-03-05,HIRE,organic
403,2016-03-11,HIRE,organic
404,2016-03-02,HIRE,organic
405,2016-03-09,HIRE,organic
406,2016-03-01,HIRE,organic
407,2016-03-10,HIRE,organic
408,2016-03-05,HIRE,organic
409,2016-03-11,HIRE,organic
410,2016-03-10,HIRE,organic
411,2016-03-01,HIRE,organic
412,2016-03-12,HIRE,organic
413,2016-03-03,HIRE,organic
351,2016-03-15,PROMOTION,IC3
318,2016-03-15,PROMOTION,IC2
49,2016-03-15,PROMOTION,IC2
121,2016-03-15,PROMOTION,M4
197,2016-03-15,PROMOTION,IC4
232,2016-03-15,PROMOTION,IC2
29,2016-03-15,PROMOTION,IC5
89,2016-03-15,PROMOTION,IC3
47,2016-03-15,PROMOTION,IC2
286,2016-03-15,PROMOTION,IC4
187,2016-03-15,PROMOTION,M2
189,2016-03-15,TRANSFER,IC2
170,2016-03-15,LATERAL_MOVE,IC2
237,2016-04-24,TERMINATION,EndOfContract
247,2016-04-19,TERMINATION,Retirement
300,2016-04-24,TERMINATION,Resignation
359,2016-04-18,TERMINATION,Retirement
267,2016-04-20,TERMINATION,Retirement
356,2016-04-28,TERMINATION,Retirement
236,2016-04-16,TERMINATION,Retirement
414,2016-04-08,HIRE,organic
415,2016-04-10,HIRE,organic
416,2016-04-13,HIRE,organic
417,2016-04-09,HIRE,organic
418,2016-04-13,HIRE,organic
419,2016-04-07,HIRE,organic
420,2016-04-11,HIRE,organic
421,2016-04-12,HIRE,organic
422,2016-04-03,HIRE,organic
423,2016-04-01,HIRE,organic
129,2016-04-15,TRANSFER,M1
270,2016-04-15,LATERAL_MOVE,IC2
306,2016-05-16,TERMINATION,Layoff
402,2016-05-18,TERMINATION,Resignation
40,2016-05-25,TERMINATION,EndOfContract
178,2016-05-25,TERMINATION,Retirement
424,2016-05-10,HIRE,organic
425,2016-05-08,HIRE,organic
426,2016-05-03,HIRE,organic
427,2016-05-09,HIRE,organic
428,2016-05-13,HIRE,organic
429,2016-05-13,HIRE,organic
430,2016-05-09,HIRE,organic
13,2016-05-15,TRANSFER,IC1
14,2016-05-15,TRANSFER,M3
161,2016-06-27,TERMINATION,Resignation
235,2016-06-18,TERMINATION,Redundancy
299,2016-06-22,TERMINATION,Resignation
351,2016-06-28,TERMINATION,Resignation
385,2016-06-20,TERMINATION,Layoff
51,2016-06-22,TERMINATION,Retirement
431,2016-06-11,HIRE,organic
432,2016-06-01,HIRE,organic
433,2016-06-02,HIRE,organic
434,2016-06-04,HIRE,organic
435,2016-06-12,HIRE,organic
436,2016-06-04,HIRE,organic
437,2016-06-07,HIRE,organic
438,2016-06-03,HIRE,organic
439,2016-06-01,HIRE,organic
440,2016-06-05,HIRE,organic
243,2016-06-15,TRANSFER,IC3
281,2016-06-15,DEMOTION,M2
240,2016-07-16,TERMINATION,Redundancy
394,2016-07-24,TERMINATION,EndOfContract
291,2016-07-28,TERMINATION,Other
371,2016-07-18,TERMINATION,EndOfContract
259,2016-07-23,TERMINATION,EndOfContract
314,2016-07-27,TERMINATION,Resignation
441,2016-07-06,HIRE,organic
442,2016-07-01,HIRE,organic
443,2016-07-05,HIRE,organic
444,2016-07-14,HIRE,organic
445,2016-07-10,HIRE,organic
446,2016-07-12,HIRE,organic
447,2016-07-08,HIRE,organic
448,2016-07-12,HIRE,organic
449,2016-07-05,HIRE,organic
392,2016-07-15,TRANSFER,IC1
442,2016-07-15,TRANSFER,IC1
322,2016-07-15,LATERAL_MOVE,IC1
122,2016-08-27,TERMINATION,Resignation
136,2016-08-21,TERMINATION,Layoff
361,2016-08-20,TERMINATION,Other
388,2016-08-22,TERMINATION,Retirement
389,2016-08-21,TERMINATION,EndOfContract
409,2016-08-25,TERMINATION,Retirement
421,2016-08-19,TERMINATION,Redundancy
2,2016-08-19,TERMINATION,Retirement
329,2016-08-27,TERMINATION,Retirement
125,2016-08-23,TERMINATION,Retirement
338,2016-08-26,TERMINATION,Retirement
348,2016-08-28,TERMINATION,EndOfContract
168,2016-08-18,TERMINATION,Retirement
450,2016-08-09,HIRE,organic
451,2016-08-01,HIRE,organic
452,2016-08-13,HIRE,organic
453,2016-08-12,HIRE,organic
454,2016-08-04,HIRE,organic
455,2016-08-13,HIRE,organic
456,2016-08-02,HIRE,organic
457,2016-08-11,HIRE,organic
458,2016-08-11,HIRE,organic
459,2016-08-04,HIRE,organic
460,2016-08-14,HIRE,organic
461,2016-08-08,HIRE,organic
462,2016-08-04,HIRE,organic
463,2016-08-01,HIRE,organic
464,2016-08-08,HIRE,organic
465,2016-08-02,HIRE,organic
132,2016-08-15,TRANSFER,IC1
229,2016-08-15,LATERAL_MOVE,IC1
260,2016-08-15,LATERAL_MOVE,IC3
111,2016-09-26,TERMINATION,Other
226,2016-09-26,TERMINATION,Retirement
293,2016-09-28,TERMINATION,Retirement
397,2016-09-26,TERMINATION,Retirement
432,2016-09-19,TERMINATION,Layoff
387,2016-09-20,TERMINATION,Retirement
124,2016-09-26,TERMINATION,Retirement
466,2016-09-11,HIRE,organic
467,2016-09-01,HIRE,organic
468,2016-09-04,HIRE,organic
469,2016-09-07,HIRE,organic
470,2016-09-03,HIRE,organic
471,2016-09-04,HIRE,organic
472,2016-09-06,HIRE,organic
473,2016-09-13,HIRE,organic
474,2016-09-11,HIRE,organic
475,2016-09-12,HIRE,organic
476,2016-09-07,HIRE,organic
308,2016-09-15,PROMOTION,IC2
372,2016-09-15,PROMOTION,IC2
375,2016-09-15,PROMOTION,IC3
56,2016-09-15,PROMOTION,IC2
18,2016-09-15,PROMOTION,IC3
357,2016-09-15,PROMOTION,IC3
368,2016-09-15,PROMOTION,IC2
48,2016-09-15,PROMOTION,IC3
109,2016-09-15,PROMOTION,IC2
199,2016-09-15,PROMOTION,IC3
321,2016-09-15,PROMOTION,M4
183,2016-09-15,PROMOTION,IC4
416,2016-09-15,TRANSFER,IC5
429,2016-09-15,TRANSFER,IC1
436,2016-09-15,TRANSFER,IC2
391,2016-09-15,LATERAL_MOVE,IC2
25,2016-10-21,TERMINATION,Resignation
198,2016-10-23,TERMINATION,Resignation
213,2016-10-23,TERMINATION,Resignation
239,2016-10-28,TERMINATION,Retirement
369,2016-10-26,TERMINATION,Redundancy
377,2016-10-17,TERMINATION,Retirement
412,2016-10-23,TERMINATION,Retirement
446,2016-10-23,TERMINATION,Performance
257,2016-10-16,TERMINATION,Other
437,2016-10-21,TERMINATION,Redundancy
477,2016-10-07,HIRE,organic
478,2016-10-10,HIRE,organic
479,2016-10-05,HIRE,organic
480,2016-10-02,HIRE,organic
481,2016-10-11,HIRE,organic
482,2016-10-07,HIRE,organic
483,2016-10-05,HIRE,organic
484,2016-10-06,HIRE,organic
485,2016-10-13,HIRE,organic
486,2016-10-09,HIRE,organic
487,2016-10-01,HIRE,organic
488,2016-10-13,HIRE,organic
489,2016-10-07,HIRE,organic
195,2016-10-15,TRANSFER,IC1
316,2016-10-15,TRANSFER,IC2
342,2016-10-15,TRANSFER,IC1
463,2016-10-15,TRANSFER,IC1
162,2016-10-15,LATERAL_MOVE,IC4
56,2016-11-22,TERMINATION,Resignation
185,2016-11-28,TERMINATION,Retirement
265,2016-11-20,TERMINATION,EndOfContract
372,2016-11-27,TERMINATION,Resignation
204,2016-11-28,TERMINATION,Retirement
53,2016-11-19,TERMINATION,Retirement
332,2016-11-24,TERMINATION,EndOfContract
490,2016-11-06,HIRE,organic
491,2016-11-09,HIRE,organic
492,2016-11-02,HIRE,organic
493,2016-11-06,HIRE,organic
494,2016-11-08,HIRE,organic
495,2016-11-06,HIRE,organic
496,2016-11-12,HIRE,organic
497,2016-11-10,HIRE,organic
498,2016-11-09,HIRE,organic
499,2016-11-05,HIRE,organic
500,2016-11-12,HIRE,organic
501,2016-11-07,HIRE,organic
502,2016-11-09,HIRE,organic
503,2016-11-01,HIRE,organic
504,2016-11-13,HIRE,organic
505,2016-11-01,HIRE,organic
506,2016-11-09,HIRE,organic
507,2016-11-10,HIRE,organic
508,2016-11-14,HIRE,organic
509,2016-11-14,HIRE,organic
510,2016-11-09,HIRE,organic
511,2016-11-06,HIRE,organic
512,2016-11-05,HIRE,organic
513,2016-11-08,HIRE,organic
514,2016-11-05,HIRE,organic
515,2016-11-12,HIRE,organic
516,2016-11-05,HIRE,organic
517,2016-11-08,HIRE,organic
518,2016-11-10,HIRE,organic
519,2016-11-02,HIRE,organic
520,2016-11-13,HIRE,organic
521,2016-11-03,HIRE,organic
522,2016-11-08,HIRE,organic
523,2016-11-05,HIRE,organic
524,2016-11-12,HIRE,organic
525,2016-11-12,HIRE,organic
526,2016-11-02,HIRE,organic
527,2016-11-12,HIRE,organic
528,2016-11-03,HIRE,organic
529,2016-11-09,HIRE,organic
530,2016-11-11,HIRE,organic
531,2016-11-13,HIRE,organic
532,2016-11-12,HIRE,organic
526,2016-11-15,TRANSFER,IC1
410,2016-11-15,LATERAL_MOVE,IC1
23,2016-12-28,TERMINATION,Resignation
317,2016-12-20,TERMINATION,Retirement
382,2016-12-20,TERMINATION,Performance
512,2016-12-23,TERMINATION,Layoff
525,2016-12-24,TERMINATION,Retirement
364,2016-12-27,TERMINATION,Retirement
114,2016-12-25,TERMINATION,EndOfContract
533,2016-12-05,HIRE,organic
534,2016-12-01,HIRE,organic
535,2016-12-09,HIRE,organic
536,2016-12-09,HIRE,organic
537,2016-12-09,HIRE,organic
538,2016-12-01,HIRE,organic
539,2016-12-09,HIRE,organic
540,2016-12-08,HIRE,organic
541,2016-12-10,HIRE,organic
542,2016-12-12,HIRE,organic
543,2016-12-02,HIRE,organic
115,2016-12-15,TRANSFER,IC2
142,2016-12-15,TRANSFER,IC2
331,2016-12-15,TRANSFER,IC1
463,2016-12-15,LATERAL_MOVE,IC1
5,2017-01-17,TERMINATION,Resignation
44,2017-01-22,TERMINATION,Resignation
289,2017-01-18,TERMINATION,Redundancy
443,2017-01-28,TERMINATION,Redundancy
445,2017-01-20,TERMINATION,Redundancy
455,2017-01-25,TERMINATION,Retirement
462,2017-01-19,TERMINATION,Resignation
487,2017-01-24,TERMINATION,Other
19,2017-01-20,TERMINATION,Layoff
271,2017-01-27,TERMINATION,Resignation
470,2017-01-20,TERMINATION,EndOfContract
103,2017-01-28,TERMINATION,Layoff
426,2017-01-22,TERMINATION,Resignation
18,2017-01-15,TRANSFER,IC3
245,2017-01-15,TRANSFER,IC1
513,2017-01-15,LATERAL_MOVE,IC1
7,2017-02-25,TERMINATION,Resignation
37,2017-02-26,TERMINATION,Redundancy
108,2017-02-17,TERMINATION,Resignation
228,2017-02-17,TERMINATION,Other
459,2017-02-23,TERMINATION,Resignation
472,2017-02-27,TERMINATION,Resignation
340,2017-02-21,TERMINATION,Retirement
163,2017-02-26,TERMINATION,Retirement
225,2017-02-16,TERMINATION,Retirement
231,2017-02-18,TERMINATION,Other
465,2017-02-28,TERMINATION,Retirement
54,2017-02-20,TERMINATION,EndOfContract
127,2017-03-17,TERMINATION,Retirement
129,2017-03-17,TERMINATION,Retirement
145,2017-03-17,TERMINATION,Resignation
209,2017-03-22,TERMINATION,Resignation
260,2017-03-17,TERMINATION,Retirement
362,2017-03-22,TERMINATION,Redundancy
508,2017-03-24,TERMINATION,Performance
519,2017-03-22,TERMINATION,Resignation
540,2017-03-25,TERMINATION,Resignation
533,2017-03-18,TERMINATION,Layoff
413,2017-03-26,TERMINATION,Retirement
419,2017-03-17,TERMINATION,Resignation
456,2017-03-20,TERMINATION,Other
544,2017-03-08,HIRE,organic
545,2017-03-12,HIRE,organic
546,2017-03-01,HIRE,organic
547,2017-03-04,HIRE,organic
548,2017-03-09,HIRE,organic
549,2017-03-03,HIRE,organic
550,2017-03-04,HIRE,organic
551,2017-03-06,HIRE,organic
552,2017-03-05,HIRE,organic
553,2017-03-05,HIRE,organic
554,2017-03-11,HIRE,organic
555,2017-03-06,HIRE,organic
556,2017-03-02,HIRE,organic
557,2017-03-07,HIRE,organic
558,2017-03-10,HIRE,organic
559,2017-03-07,HIRE,organic
560,2017-03-11,HIRE,organic
561,2017-03-06,HIRE,organic
287,2017-03-15,PROMOTION,IC2
224,2017-03-15,PROMOTION,IC2
