employee_id,course_id,course_category,enrollment_date,completion_date,completion_status,learning_hours,mandatory_flag,country,department,job_level
182,CRS-FUN-032,Functional Skills,2018-03-03,,In Progress,10.2,false,BR,Store Operations,IC1
183,CRS-TEC-018,Technology,2018-03-15,2018-05-19,Completed,27.5,false,BR,People,IC4
186,CRS-SAF-029,Safety,2018-03-03,2018-03-08,Completed,2.8,true,BR,Sales,IC1
192,CRS-TEC-014,Technology,2018-03-11,2018-04-28,Completed,44.7,false,BR,Product,IC5
197,CRS-COM-012,Compliance,2018-03-02,2018-03-13,Completed,2.0,true,BR,Data,IC4
201,CRS-FUN-034,Functional Skills,2018-03-16,2018-05-01,Completed,6.1,false,BR,Sales,IC2
205,CRS-FUN-032,Functional Skills,2018-03-21,2018-04-30,Completed,9.1,false,BR,UX,IC4
208,CRS-LEA-010,Leadership,2018-03-16,,In Progress,15.0,false,BR,Regional Operations,M2
208,CRS-COM-004,Compliance,2018-03-26,2018-05-19,Completed,1.0,true,BR,Regional Operations,M2
214,CRS-COM-029,Compliance,2018-03-03,,In Progress,1.2,true,BR,Engineering,IC1
217,CRS-FUN-012,Functional Skills,2018-03-02,2018-03-15,Completed,18.6,false,BR,Visual Merchandising,IC1
223,CRS-CUS-014,Customer,2018-03-12,,In Progress,3.0,false,BR,Visual Merchandising,IC2
241,CRS-COM-019,Compliance,2018-03-15,2018-04-09,Completed,2.6,true,BR,Customer Operations,IC1
245,CRS-TEC-030,Technology,2018-03-01,,In Progress,31.8,false,BR,E-commerce,IC2
250,CRS-COM-020,Compliance,2018-03-11,,In Progress,3.3,true,BR,Sales,IC1
251,CRS-FUN-008,Functional Skills,2018-03-11,2018-03-14,Completed,9.1,false,BR,Regional Operations,IC2
251,CRS-COM-011,Compliance,2018-03-18,2018-05-04,Completed,3.0,true,BR,Regional Operations,IC2
252,CRS-FUN-038,Functional Skills,2018-03-10,,In Progress,9.7,false,BR,Customer Operations,M1
254,CRS-COM-018,Compliance,2018-03-10,,In Progress,2.2,true,BR,Finance,IC3
261,CRS-COM-001,Compliance,2018-03-18,2018-04-14,Completed,3.5,true,BR,Risk,M2
262,CRS-COM-007,Compliance,2018-03-13,2018-04-28,Completed,2.4,true,BR,Store Operations,IC1
263,CRS-COM-024,Compliance,2018-03-26,2018-04-25,Completed,1.5,true,BR,Customer Operations,IC1
279,CRS-CUS-016,Customer,2018-03-25,2018-05-29,Completed,3.1,false,BR,Visual Merchandising,IC1
279,CRS-FUN-004,Functional Skills,2018-03-09,,In Progress,16.6,false,BR,Visual Merchandising,IC1
281,CRS-TEC-029,Technology,2018-03-27,2018-05-04,Completed,7.9,false,BR,E-commerce,M2
282,CRS-CUS-022,Customer,2018-03-14,,In Progress,3.2,false,BR,Regional Operations,IC2
286,CRS-COM-005,Compliance,2018-03-24,2018-05-29,Completed,2.3,true,BR,Procurement,IC4
288,CRS-CUS-024,Customer,2018-03-04,,In Progress,11.2,false,BR,Customer Operations,IC2
288,CRS-CUS-008,Customer,2018-03-07,2018-04-12,Completed,2.3,false,BR,Customer Operations,IC2
288,CRS-COM-004,Compliance,2018-03-14,2018-05-09,Completed,2.8,true,BR,Customer Operations,IC2
294,CRS-SAF-026,Safety,2018-03-15,2018-05-03,Completed,5.3,true,BR,Visual Merchandising,IC3
295,CRS-COM-012,Compliance,2018-03-02,,In Progress,1.3,true,BR,Procurement,M1
307,CRS-CUS-032,Customer,2018-03-17,,In Progress,4.2,false,BR,Visual Merchandising,M2
310,CRS-MAN-014,Management,2018-03-10,2018-04-13,Completed,6.8,false,BR,Customer Service,M1
313,CRS-FUN-034,Functional Skills,2018-03-19,,In Progress,7.8,false,BR,Procurement,IC2
318,CRS-COM-002,Compliance,2018-03-21,2018-04-19,Completed,2.8,true,BR,Procurement,IC2
319,CRS-SAF-014,Safety,2018-03-22,2018-04-25,Completed,5.5,true,BR,Procurement,IC3
322,CRS-COM-038,Compliance,2018-03-05,2018-03-15,Completed,3.5,true,BR,Store Operations,IC1
322,CRS-SAF-032,Safety,2018-03-03,2018-03-28,Completed,2.9,true,BR,Store Operations,IC1
324,CRS-COM-014,Compliance,2018-03-01,2018-03-20,Completed,2.0,true,BR,Finance,IC2
324,CRS-FUN-022,Functional Skills,2018-03-18,2018-04-06,Completed,17.2,false,BR,Finance,IC2
327,CRS-FUN-032,Functional Skills,2018-03-24,,In Progress,16.7,false,BR,People,M1
328,CRS-TEC-015,Technology,2018-03-08,2018-04-10,Completed,25.5,false,BR,UX,IC1
335,CRS-LEA-008,Leadership,2018-03-07,,In Progress,27.8,false,BR,Planning,M1
337,CRS-CUS-018,Customer,2018-03-23,,In Progress,8.2,false,AR,Customer Service,IC1
344,CRS-SAF-034,Safety,2018-03-03,2018-04-02,Completed,2.8,true,AR,Planning,IC2
344,CRS-COM-004,Compliance,2018-03-25,2018-04-28,Completed,2.1,true,AR,Planning,IC2
346,CRS-SAF-011,Safety,2018-03-03,2018-04-04,Completed,4.6,true,AR,Sales,IC1
347,CRS-FUN-038,Functional Skills,2018-03-27,2018-04-21,Completed,2.4,false,AR,Customer Service,IC1
349,CRS-COM-015,Compliance,2018-03-05,2018-04-16,Completed,2.8,true,AR,Regional Operations,IC1
355,CRS-FUN-036,Functional Skills,2018-03-28,2018-05-09,Completed,11.3,false,AR,Planning,IC2
355,CRS-FUN-024,Functional Skills,2018-03-07,2018-03-18,Completed,13.6,false,AR,Planning,IC2
360,CRS-CUS-018,Customer,2018-03-25,2018-05-30,Completed,5.6,false,AR,Sales,IC1
366,CRS-CUS-039,Customer,2018-03-04,2018-04-23,Completed,6.9,false,AR,Sales,IC1
366,CRS-COM-035,Compliance,2018-03-17,2018-05-07,Completed,3.7,true,AR,Sales,IC1
379,CRS-SAF-026,Safety,2018-03-03,2018-03-19,Completed,3.4,true,AR,Sales,IC3
392,CRS-COM-015,Compliance,2018-03-21,2018-05-17,Completed,2.1,true,BR,Risk,IC1
393,CRS-COM-010,Compliance,2018-03-15,2018-03-20,Completed,1.2,true,BR,Regional Operations,IC1
395,CRS-SAF-015,Safety,2018-03-02,2018-03-24,Completed,5.9,true,BR,Regional Operations,IC2
395,CRS-SAF-026,Safety,2018-03-19,2018-04-22,Completed,4.0,true,BR,Regional Operations,IC2
399,CRS-FUN-008,Functional Skills,2018-03-10,2018-04-17,Completed,3.4,false,BR,Sales,IC2
403,CRS-FUN-031,Functional Skills,2018-03-27,2018-06-02,Completed,4.8,false,BR,Legal,IC3
404,CRS-FUN-033,Functional Skills,2018-03-11,2018-03-22,Completed,13.3,false,BR,Product,IC4
404,CRS-FUN-032,Functional Skills,2018-03-16,2018-04-30,Completed,22.5,false,BR,Product,IC4
404,CRS-TEC-018,Technology,2018-03-08,2018-04-21,Completed,46.3,false,BR,Product,IC4
405,CRS-SAF-011,Safety,2018-03-21,2018-03-31,Completed,2.2,true,BR,Procurement,IC1
420,CRS-FUN-030,Functional Skills,2018-03-03,,In Progress,3.9,false,BR,Digital Marketing,IC3
422,CRS-CUS-020,Customer,2018-03-26,2018-03-29,Completed,4.7,false,BR,Visual Merchandising,IC1
425,CRS-SAF-038,Safety,2018-03-17,2018-05-11,Completed,3.1,true,BR,Planning,IC1
433,CRS-CUS-023,Customer,2018-03-10,2018-05-17,Completed,5.6,false,BR,Customer Experience,M1
433,CRS-CUS-002,Customer,2018-03-08,,In Progress,9.0,false,BR,Customer Experience,M1
433,CRS-CUS-002,Customer,2018-03-26,2018-05-31,Completed,4.6,false,BR,Customer Experience,M1
440,CRS-COM-013,Compliance,2018-03-23,2018-04-28,Completed,2.5,true,BR,Marketing,M2
461,CRS-CUS-035,Customer,2018-03-08,,In Progress,4.8,false,BR,Customer Service,IC2
473,CRS-SAF-027,Safety,2018-03-11,2018-03-16,Completed,4.7,true,BR,Sales,IC2
474,CRS-COM-028,Compliance,2018-03-06,2018-04-24,Completed,1.3,true,BR,Planning,IC3
475,CRS-TEC-010,Technology,2018-03-01,,In Progress,46.8,false,BR,Finance,IC1
479,CRS-CUS-001,Customer,2018-03-12,2018-05-02,Completed,10.2,false,BR,Visual Merchandising,IC2
484,CRS-CUS-023,Customer,2018-03-01,,In Progress,8.0,false,BR,Visual Merchandising,IC1
484,CRS-CUS-033,Customer,2018-03-14,2018-05-08,Completed,11.9,false,BR,Visual Merchandising,IC1
493,CRS-FUN-023,Functional Skills,2018-03-25,2018-03-28,Completed,16.9,false,BR,Visual Merchandising,M1
494,CRS-TEC-038,Technology,2018-03-07,2018-03-25,Completed,9.2,false,BR,Strategy,IC3
494,CRS-FUN-019,Functional Skills,2018-03-06,2018-03-22,Completed,15.3,false,BR,Strategy,IC3
502,CRS-CUS-032,Customer,2018-03-25,2018-04-20,Completed,11.4,false,BR,Visual Merchandising,IC2
504,CRS-COM-010,Compliance,2018-03-09,2018-05-15,Completed,1.2,true,BR,Data & Analytics,IC1
505,CRS-SAF-037,Safety,2018-03-20,2018-05-03,Completed,2.7,true,BR,Planning,IC2
507,CRS-FUN-005,Functional Skills,2018-03-12,,In Progress,22.7,false,AR,Sales,IC1
509,CRS-TEC-001,Technology,2018-03-04,2018-03-10,Completed,19.6,false,BR,Data & Analytics,M2
510,CRS-FUN-003,Functional Skills,2018-03-21,2018-04-13,Completed,23.8,false,AR,Customer Service,IC2
516,CRS-TEC-020,Technology,2018-03-14,,In Progress,52.0,false,BR,Data,IC3
518,CRS-SAF-031,Safety,2018-03-17,2018-04-22,Completed,2.8,true,BR,Regional Operations,IC3
518,CRS-FUN-022,Functional Skills,2018-03-16,,In Progress,13.9,false,BR,Regional Operations,IC3
530,CRS-COM-027,Compliance,2018-03-16,2018-05-11,Completed,1.1,true,AR,Customer Service,IC2
534,CRS-FUN-035,Functional Skills,2018-03-16,2018-04-05,Completed,13.5,false,BR,Engineering,IC1
542,CRS-CUS-004,Customer,2018-03-22,2018-05-03,Completed,11.2,false,AR,Regional Operations,IC1
544,CRS-COM-036,Compliance,2018-03-28,,In Progress,2.3,true,BR,Visual Merchandising,IC1
549,CRS-COM-028,Compliance,2018-03-23,2018-04-19,Completed,2.3,true,BR,Sales,IC1
551,CRS-COM-038,Compliance,2018-03-14,2018-03-25,Completed,3.2,true,BR,Procurement,IC3
552,CRS-MAN-015,Management,2018-03-24,,In Progress,12.7,false,BR,Customer Experience,M1
556,CRS-SAF-014,Safety,2018-03-11,2018-04-18,Completed,3.0,true,BR,Planning,IC2
556,CRS-COM-021,Compliance,2018-03-27,,In Progress,2.7,true,BR,Planning,IC2
561,CRS-COM-010,Compliance,2018-03-05,2018-05-13,Completed,3.8,true,BR,Procurement,IC1
566,CRS-COM-018,Compliance,2018-03-14,2018-04-13,Completed,3.2,true,BR,Digital Marketing,IC4
566,CRS-COM-017,Compliance,2018-03-18,2018-05-20,Completed,3.1,true,BR,Digital Marketing,IC4
568,CRS-COM-006,Compliance,2018-03-16,2018-03-26,Completed,1.1,true,BR,Logistics,IC2
578,CRS-LEA-027,Leadership,2018-03-01,2018-03-09,Completed,30.7,false,BR,Sales,M3
579,CRS-SAF-011,Safety,2018-03-09,2018-04-26,Completed,5.9,true,BR,Regional Operations,IC1
582,CRS-FUN-020,Functional Skills,2018-03-13,,In Progress,8.5,false,BR,Sales,IC1
582,CRS-FUN-014,Functional Skills,2018-03-08,,In Progress,3.4,false,BR,Sales,IC1
589,CRS-FUN-016,Functional Skills,2018-03-27,2018-04-06,Completed,3.1,false,BR,Sales,IC1
598,CRS-COM-014,Compliance,2018-03-22,2018-04-10,Completed,3.8,true,BR,People,IC4
598,CRS-COM-025,Compliance,2018-03-09,2018-04-08,Completed,2.1,true,BR,People,IC4
605,CRS-TEC-024,Technology,2018-03-03,2018-05-04,Completed,7.1,false,BR,Finance,IC2
606,CRS-SAF-021,Safety,2018-03-22,2018-04-02,Completed,5.7,true,BR,Regional Operations,IC1
607,CRS-TEC-003,Technology,2018-03-28,2018-06-05,Completed,4.2,false,BR,Legal,IC3
607,CRS-TEC-006,Technology,2018-03-07,2018-04-16,Completed,51.6,false,BR,Legal,IC3
613,CRS-FUN-017,Functional Skills,2018-03-18,,In Progress,2.2,false,BR,Customer Service,IC1
614,CRS-FUN-022,Functional Skills,2018-03-07,,In Progress,13.9,false,BR,Regional Operations,IC2
616,CRS-CUS-003,Customer,2018-03-17,2018-03-20,Completed,6.7,false,BR,Store Operations,IC1
618,CRS-TEC-008,Technology,2018-03-22,,In Progress,10.6,false,BR,Data,IC4
619,CRS-FUN-034,Functional Skills,2018-03-03,,In Progress,16.0,false,BR,Store Operations,IC1
619,CRS-FUN-001,Functional Skills,2018-03-19,,In Progress,15.4,false,BR,Store Operations,IC1
620,CRS-CUS-027,Customer,2018-03-02,,In Progress,6.4,false,BR,Customer Experience,IC2
629,CRS-FUN-023,Functional Skills,2018-03-06,2018-04-18,Completed,20.3,false,BR,Product,IC1
630,CRS-TEC-030,Technology,2018-03-16,2018-04-29,Completed,18.6,false,BR,Finance,IC3
631,CRS-COM-015,Compliance,2018-03-26,2018-04-11,Completed,1.7,true,BR,Regional Operations,IC2
638,CRS-TEC-015,Technology,2018-03-20,2018-05-13,Completed,46.9,false,BR,People,IC2
644,CRS-FUN-006,Functional Skills,2018-03-12,2018-03-29,Completed,15.1,false,AR,Planning,IC4
648,CRS-FUN-018,Functional Skills,2018-03-23,,In Progress,18.4,false,BR,Distribution Centers,M2
649,CRS-SAF-007,Safety,2018-03-10,2018-03-24,Completed,3.0,true,BR,Store Operations,IC2
653,CRS-COM-020,Compliance,2018-03-11,2018-04-26,Completed,2.3,true,BR,Finance,IC4
656,CRS-CUS-024,Customer,2018-03-08,,In Progress,4.1,false,BR,Visual Merchandising,IC2
656,CRS-SAF-004,Safety,2018-03-06,2018-04-30,Completed,4.6,true,BR,Visual Merchandising,IC2
657,CRS-TEC-013,Technology,2018-03-14,2018-04-02,Completed,33.4,false,BR,Engineering,IC2
658,CRS-FUN-030,Functional Skills,2018-03-09,2018-05-16,Completed,13.5,false,BR,Store Operations,IC2
664,CRS-COM-035,Compliance,2018-03-08,,In Progress,1.2,true,BR,Customer Service,IC1
665,CRS-COM-011,Compliance,2018-03-19,2018-03-23,Completed,2.4,true,BR,Distribution Centers,IC3
669,CRS-SAF-025,Safety,2018-03-27,2018-05-13,Completed,3.5,true,BR,Visual Merchandising,IC1
675,CRS-COM-030,Compliance,2018-03-05,2018-04-25,Completed,3.1,true,BR,UX,IC3
680,CRS-COM-016,Compliance,2018-03-12,2018-05-04,Completed,1.4,true,BR,Customer Service,IC1
695,CRS-FUN-024,Functional Skills,2018-03-05,2018-05-13,Completed,3.9,false,BR,Logistics,IC1
700,CRS-CUS-004,Customer,2018-03-05,,In Progress,9.1,false,BR,Visual Merchandising,M4
701,CRS-COM-006,Compliance,2018-03-08,2018-04-01,Completed,2.7,true,BR,Sales,IC1
709,CRS-CUS-015,Customer,2018-03-25,,In Progress,10.1,false,BR,Customer Experience,IC1
709,CRS-CUS-012,Customer,2018-03-21,2018-05-19,Completed,10.7,false,BR,Customer Experience,IC1
716,CRS-COM-026,Compliance,2018-03-04,2018-03-22,Completed,1.8,true,AR,Customer Service,IC1
717,CRS-COM-024,Compliance,2018-03-07,,In Progress,2.8,true,BR,Regional Operations,IC1
717,CRS-COM-006,Compliance,2018-03-15,2018-04-29,Completed,3.5,true,BR,Regional Operations,IC1
718,CRS-FUN-019,Functional Skills,2018-03-16,2018-03-27,Completed,19.3,false,BR,Customer Experience,IC1
720,CRS-CUS-006,Customer,2018-03-13,2018-03-28,Completed,7.7,false,BR,Regional Operations,IC1
729,CRS-SAF-010,Safety,2018-03-09,2018-05-12,Completed,2.7,true,BR,Logistics,IC2
730,CRS-COM-012,Compliance,2018-03-13,,In Progress,1.6,true,BR,E-commerce,IC4
734,CRS-COM-035,Compliance,2018-03-20,2018-04-24,Completed,3.9,true,BR,Visual Merchandising,IC1
735,CRS-FUN-034,Functional Skills,2018-03-26,,In Progress,12.2,false,BR,Data & Analytics,IC2
742,CRS-COM-032,Compliance,2018-03-08,2018-05-09,Completed,4.0,true,BR,Visual Merchandising,IC1
743,CRS-FUN-027,Functional Skills,2018-03-17,2018-05-21,Completed,16.9,false,CL,Customer Experience,IC2
743,CRS-FUN-030,Functional Skills,2018-03-28,2018-05-17,Completed,9.4,false,CL,Customer Experience,IC2
744,CRS-SAF-039,Safety,2018-03-27,2018-05-19,Completed,2.5,true,BR,Planning,IC5
746,CRS-FUN-019,Functional Skills,2018-03-05,2018-03-31,Completed,2.2,false,BR,Customer Operations,IC1
748,CRS-COM-005,Compliance,2018-03-22,2018-04-01,Completed,3.3,true,BR,Legal,M3
748,CRS-TEC-019,Technology,2018-03-13,,In Progress,8.1,false,BR,Legal,M3
9,CRS-SAF-017,Safety,2018-04-08,,In Progress,2.3,true,BR,Planning,IC3
10,CRS-MAN-027,Management,2018-04-07,,In Progress,8.4,false,BR,Procurement,M4
16,CRS-COM-020,Compliance,2018-04-09,2018-04-30,Completed,3.0,true,BR,Customer Experience,IC1
17,CRS-FUN-018,Functional Skills,2018-04-10,2018-05-15,Completed,23.8,false,BR,Sales,IC1
34,CRS-SAF-027,Safety,2018-04-12,2018-04-27,Completed,5.8,true,BR,Regional Operations,M1
36,CRS-SAF-007,Safety,2018-04-08,2018-04-20,Completed,3.2,true,BR,Distribution Centers,IC1
42,CRS-COM-026,Compliance,2018-04-11,2018-06-03,Completed,1.1,true,BR,Sales,IC2
43,CRS-FUN-018,Functional Skills,2018-04-14,2018-05-11,Completed,20.1,false,BR,Distribution Centers,IC2
57,CRS-FUN-003,Functional Skills,2018-04-20,,In Progress,23.8,false,BR,People,IC2
64,CRS-SAF-022,Safety,2018-04-20,2018-06-08,Completed,2.7,true,BR,Sales,IC1
65,CRS-SAF-015,Safety,2018-04-13,,In Progress,3.7,true,BR,Sales,M2
66,CRS-COM-015,Compliance,2018-04-24,2018-05-18,Completed,2.6,true,BR,Store Operations,IC2
70,CRS-MAN-014,Management,2018-04-01,2018-04-04,Completed,10.4,false,BR,Customer Operations,M2
70,CRS-CUS-009,Customer,2018-04-01,2018-05-15,Completed,5.3,false,BR,Customer Operations,M2
75,CRS-FUN-020,Functional Skills,2018-04-06,2018-05-01,Completed,6.1,false,BR,Legal,IC1
75,CRS-FUN-023,Functional Skills,2018-04-28,2018-05-10,Completed,10.6,false,BR,Legal,IC1
81,CRS-COM-017,Compliance,2018-04-25,2018-05-31,Completed,3.1,true,BR,Procurement,M1
85,CRS-FUN-018,Functional Skills,2018-04-28,,In Progress,6.3,false,BR,Sales,IC1
85,CRS-SAF-017,Safety,2018-04-13,2018-04-17,Completed,4.0,true,BR,Sales,IC1
92,CRS-FUN-024,Functional Skills,2018-04-02,,In Progress,6.1,false,BR,Data & Analytics,M1
98,CRS-CUS-035,Customer,2018-04-13,2018-06-06,Completed,5.4,false,BR,Regional Operations,M1
101,CRS-FUN-034,Functional Skills,2018-04-25,,In Progress,15.1,false,BR,Customer Operations,IC1
106,CRS-TEC-028,Technology,2018-04-01,,In Progress,58.8,false,BR,E-commerce,IC2
106,CRS-TEC-013,Technology,2018-04-13,,In Progress,37.1,false,BR,E-commerce,IC2
106,CRS-COM-038,Compliance,2018-04-26,2018-07-04,Completed,1.8,true,BR,E-commerce,IC2
117,CRS-TEC-024,Technology,2018-04-07,,In Progress,32.1,false,BR,Risk,IC2
118,CRS-FUN-020,Functional Skills,2018-04-06,2018-04-21,Completed,12.6,false,BR,Product,IC2
121,CRS-COM-033,Compliance,2018-04-23,2018-05-29,Completed,2.8,true,BR,Sales,M4
133,CRS-COM-014,Compliance,2018-04-02,2018-05-11,Completed,2.5,true,BR,Customer Experience,IC1
134,CRS-COM-025,Compliance,2018-04-13,2018-05-02,Completed,3.9,true,BR,Customer Service,IC1
134,CRS-CUS-008,Customer,2018-04-07,2018-05-10,Completed,9.6,false,BR,Customer Service,IC1
141,CRS-FUN-025,Functional Skills,2018-04-13,,In Progress,12.5,false,BR,Sales,M1
142,CRS-SAF-032,Safety,2018-04-13,2018-05-26,Completed,3.1,true,BR,Sales,IC2
142,CRS-FUN-039,Functional Skills,2018-04-23,,In Progress,10.7,false,BR,Sales,IC2
146,CRS-COM-024,Compliance,2018-04-12,2018-05-01,Completed,3.4,true,BR,Regional Operations,IC2
149,CRS-COM-034,Compliance,2018-04-06,2018-05-15,Completed,3.8,true,BR,Distribution Centers,IC1
153,CRS-MAN-017,Management,2018-04-06,2018-05-06,Completed,14.3,false,BR,Data,M1
160,CRS-COM-016,Compliance,2018-04-07,,In Progress,2.3,true,BR,Sales,IC2
162,CRS-COM-003,Compliance,2018-04-12,,In Progress,3.2,true,BR,Sales,IC5
166,CRS-FUN-001,Functional Skills,2018-04-14,,In Progress,4.5,false,BR,Distribution Centers,IC2
167,CRS-FUN-027,Functional Skills,2018-04-03,2018-04-29,Completed,6.4,false,BR,Store Operations,IC2
174,CRS-SAF-035,Safety,2018-04-09,2018-04-22,Completed,2.9,true,BR,Regional Operations,IC2
175,CRS-FUN-008,Functional Skills,2018-04-12,2018-06-10,Completed,11.5,false,BR,Procurement,IC2
182,CRS-SAF-018,Safety,2018-04-13,2018-05-24,Completed,2.4,true,BR,Store Operations,IC1
183,CRS-COM-038,Compliance,2018-04-12,2018-04-29,Completed,2.9,true,BR,People,IC4
188,CRS-FUN-036,Functional Skills,2018-04-13,,In Progress,23.8,false,BR,Logistics,IC1
197,CRS-FUN-035,Functional Skills,2018-04-01,,In Progress,2.7,false,BR,Data,IC4
206,CRS-COM-013,Compliance,2018-04-18,2018-04-27,Completed,2.3,true,BR,Logistics,IC1
207,CRS-CUS-035,Customer,2018-04-22,2018-06-21,Completed,2.8,false,BR,Visual Merchandising,IC1
208,CRS-LEA-001,Leadership,2018-04-03,2018-04-17,Completed,38.4,false,BR,Regional Operations,M2
210,CRS-TEC-011,Technology,2018-04-04,,In Progress,20.3,false,BR,Engineering,IC4
214,CRS-FUN-037,Functional Skills,2018-04-03,2018-04-25,Completed,10.3,false,BR,Engineering,IC1
218,CRS-TEC-005,Technology,2018-04-09,,In Progress,6.0,false,BR,Strategy,IC4
223,CRS-SAF-036,Safety,2018-04-19,2018-06-25,Completed,5.2,true,BR,Visual Merchandising,IC2
224,CRS-CUS-012,Customer,2018-04-18,2018-05-15,Completed,10.1,false,BR,Visual Merchandising,IC2
232,CRS-FUN-010,Functional Skills,2018-04-05,,In Progress,20.7,false,BR,Data & Analytics,IC3
241,CRS-COM-037,Compliance,2018-04-25,2018-05-18,Completed,1.4,true,BR,Customer Operations,IC1
241,CRS-FUN-016,Functional Skills,2018-04-15,,In Progress,7.6,false,BR,Customer Operations,IC1
242,CRS-FUN-037,Functional Skills,2018-04-18,2018-06-25,Completed,9.8,false,BR,Customer Service,IC2
243,CRS-FUN-014,Functional Skills,2018-04-11,,In Progress,15.9,false,BR,Customer Service,IC3
262,CRS-CUS-024,Customer,2018-04-26,2018-06-10,Completed,7.2,false,BR,Store Operations,IC1
264,CRS-SAF-017,Safety,2018-04-16,2018-06-19,Completed,2.5,true,BR,Visual Merchandising,M2
272,CRS-COM-002,Compliance,2018-04-19,2018-06-27,Completed,1.8,true,BR,Visual Merchandising,IC1
276,CRS-SAF-037,Safety,2018-04-20,,In Progress,2.7,true,BR,Logistics,IC2
