employee_id,review_cycle,review_date,performance_rating_recorded,performance_rating_std,scale_type,potential_rating,promotion_ready_flag,manager_id,job_level,country,department,business_unit
24,2016,2016-11-20,2,Developing,numeric,Medium,false,144,IC2,BR,Sales,Retail
26,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,144,IC2,BR,Sales,Retail
27,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,29,IC3,BR,Finance,Corporate
28,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,89,IC1,BR,Finance,Corporate
29,2016,2016-11-20,3,Meets Expectations,numeric,High,true,193,IC5,BR,Strategy,Corporate
30,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,165,IC1,BR,Customer Operations,Customer
31,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,34,IC2,BR,Regional Operations,Retail
32,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,294,IC2,BR,Visual Merchandising,Retail
33,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,61,IC1,BR,Sales,Retail
34,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,98,IC3,BR,Regional Operations,Retail
36,2016,2016-11-20,3,Meets Expectations,numeric,High,true,48,IC1,BR,Distribution Centers,Supply Chain
37,2016,2016-11-20,5,Outstanding,numeric,Low,false,32,IC1,BR,Visual Merchandising,Retail
38,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,260,IC2,BR,Logistics,Supply Chain
42,2016,2016-11-20,3,Meets Expectations,numeric,High,false,144,IC2,BR,Sales,Retail
43,2016,2016-11-20,5,Outstanding,numeric,Low,false,48,IC1,BR,Distribution Centers,Supply Chain
44,2016,2016-11-20,1,Below Expectations,numeric,Medium,true,12,IC1,BR,Regional Operations,Retail
45,2016,2016-11-20,2,Developing,numeric,Medium,false,187,IC4,BR,Procurement,Corporate
46,2016,2016-11-20,3,Meets Expectations,numeric,High,false,49,IC1,BR,Procurement,Supply Chain
47,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,243,IC2,BR,Procurement,Corporate
48,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,297,IC3,BR,Distribution Centers,Supply Chain
49,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,319,IC2,BR,Procurement,Supply Chain
50,2016,2016-11-20,3,Meets Expectations,numeric,High,false,202,IC1,BR,Data & Analytics,Corporate
54,2016,2016-11-20,5,Outstanding,numeric,High,false,113,IC1,BR,People,Corporate
55,2016,2016-11-20,2,Developing,numeric,Low,false,119,IC2,BR,Legal,Corporate
57,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,156,IC1,BR,People,Corporate
59,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,162,IC1,BR,Strategy,Corporate
60,2016,2016-11-20,2,Developing,numeric,Low,false,321,IC4,BR,Marketing,Corporate
61,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,144,IC2,BR,Sales,Retail
62,2016,2016-11-20,2,Developing,numeric,Low,false,,D1,BR,Procurement,Corporate
63,2016,2016-11-20,3,Meets Expectations,numeric,High,false,48,IC1,BR,Distribution Centers,Supply Chain
64,2016,2016-11-20,3,Meets Expectations,numeric,High,false,139,IC1,BR,Sales,Retail
65,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,14,M2,BR,Sales,Retail
66,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,21,IC1,BR,Store Operations,Retail
68,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,77,IC1,BR,Store Operations,Retail
69,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,19,IC1,BR,Logistics,Supply Chain
70,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,8,M1,BR,Data,Digital
71,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,273,IC2,BR,Visual Merchandising,Retail
72,2016,2016-11-20,3,Meets Expectations,numeric,Low,true,73,IC1,BR,Risk,Corporate
73,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,261,IC2,BR,Risk,Corporate
74,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,160,IC1,BR,Sales,Retail
75,2016,2016-11-20,2,Developing,numeric,High,false,155,IC1,BR,Legal,Corporate
76,2016,2016-11-20,3,Meets Expectations,numeric,High,false,200,IC1,BR,People,Corporate
77,2016,2016-11-20,3,Meets Expectations,numeric,High,false,129,IC2,BR,Store Operations,Retail
78,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,true,32,IC1,BR,Visual Merchandising,Retail
79,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,65,M1,BR,Sales,Retail
80,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,true,31,IC1,BR,Regional Operations,Retail
81,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,192,IC3,BR,Product,Digital
82,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,187,IC4,BR,Procurement,Corporate
83,2016,2016-11-20,3,Meets Expectations,numeric,High,false,242,IC1,BR,Customer Service,Customer
84,2016,2016-11-20,3,Meets Expectations,numeric,Low,true,318,IC1,BR,Procurement,Supply Chain
85,2016,2016-11-20,2,Developing,numeric,High,false,7,IC1,BR,Sales,Retail
86,2016,2016-11-20,3,Meets Expectations,numeric,High,false,177,IC4,BR,Engineering,Digital
87,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,90,IC1,BR,Customer Experience,Customer
88,2016,2016-11-20,1,Below Expectations,numeric,Medium,false,138,IC2,BR,Procurement,Corporate
89,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,218,IC3,BR,Finance,Corporate
90,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,194,IC2,BR,Customer Experience,Customer
91,2016,2016-11-20,2,Developing,numeric,Medium,false,127,IC1,BR,Store Operations,Retail
92,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,196,IC4,BR,Data & Analytics,Corporate
93,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,4,IC1,BR,Customer Service,Customer
94,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,316,IC1,BR,Store Operations,Retail
95,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,251,IC1,BR,Regional Operations,Retail
96,2016,2016-11-20,3,Meets Expectations,numeric,High,true,142,IC1,BR,Visual Merchandising,Retail
97,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,214,IC1,BR,Engineering,Digital
98,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,65,M1,BR,Regional Operations,Retail
100,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,254,IC2,BR,Finance,Corporate
101,2016,2016-11-20,3,Meets Expectations,numeric,High,false,100,IC1,BR,Finance,Corporate
102,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,90,IC1,BR,Customer Experience,Customer
103,2016,2016-11-20,2,Developing,numeric,High,false,165,IC1,BR,Customer Operations,Customer
104,2016,2016-11-20,5,Outstanding,numeric,Medium,false,90,IC1,BR,Customer Experience,Customer
105,2016,2016-11-20,3,Meets Expectations,numeric,High,false,296,IC1,BR,Finance,Corporate
106,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,129,IC2,BR,E-commerce,Digital
107,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,139,IC1,BR,Sales,Retail
108,2016,2016-11-20,2,Developing,numeric,Medium,false,294,IC2,BR,Visual Merchandising,Retail
109,2016,2016-11-20,3,Meets Expectations,numeric,High,false,48,IC2,BR,Distribution Centers,Supply Chain
110,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,201,IC1,BR,Sales,Retail
113,2016,2016-11-20,1,Below Expectations,numeric,High,false,183,IC2,BR,People,Corporate
114,2016,2016-11-20,3,Meets Expectations,numeric,High,false,189,IC1,BR,Customer Service,Customer
115,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,205,IC2,BR,UX,Digital
116,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,6,IC2,BR,Product,Digital
117,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,261,IC2,BR,Risk,Corporate
118,2016,2016-11-20,2,Developing,numeric,Low,false,81,IC2,BR,Product,Digital
119,2016,2016-11-20,5,Outstanding,numeric,High,false,196,IC3,BR,Legal,Corporate
120,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,153,IC3,BR,Data,Digital
121,2016,2016-11-20,3,Meets Expectations,numeric,High,true,309,M4,BR,E-commerce,Digital
123,2016,2016-11-20,2,Developing,numeric,Low,true,242,IC1,BR,Customer Service,Customer
126,2016,2016-11-20,2,Developing,numeric,Medium,false,38,IC1,BR,Logistics,Supply Chain
127,2016,2016-11-20,1,Below Expectations,numeric,Medium,false,129,IC2,BR,Store Operations,Retail
128,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,326,IC1,BR,Sales,Retail
129,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,65,M1,BR,Store Operations,Retail
130,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,90,IC1,BR,Customer Experience,Customer
131,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,189,IC1,BR,Store Operations,Retail
132,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,170,IC1,BR,Strategy,Corporate
133,2016,2016-11-20,2,Developing,numeric,Medium,false,90,IC1,BR,Customer Experience,Customer
134,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,4,IC1,BR,Customer Service,Customer
135,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,120,IC2,BR,Data,Digital
137,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,166,IC1,BR,Procurement,Corporate
138,2016,2016-11-20,2,Developing,numeric,Medium,false,45,IC3,BR,Procurement,Corporate
139,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,144,IC2,BR,Sales,Retail
140,2016,2016-11-20,4,Exceeds Expectations,numeric,High,true,14,M1,BR,Visual Merchandising,Retail
141,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,65,M1,BR,Sales,Retail
142,2016,2016-11-20,3,Meets Expectations,numeric,High,true,294,IC2,BR,Visual Merchandising,Retail
143,2016,2016-11-20,2,Developing,numeric,Low,false,430,IC1,BR,Procurement,Supply Chain
144,2016,2016-11-20,1,Below Expectations,numeric,Low,true,79,IC3,BR,Sales,Retail
145,2016,2016-11-20,2,Developing,numeric,High,true,170,IC1,BR,Visual Merchandising,Retail
146,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,34,IC2,BR,Regional Operations,Retail
148,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,9,IC1,BR,Planning,Supply Chain
149,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,48,IC1,BR,Distribution Centers,Supply Chain
150,2016,2016-11-20,2,Developing,numeric,High,false,461,IC1,BR,Customer Service,Customer
151,2016,2016-11-20,2,Developing,numeric,Medium,false,280,IC1,BR,Store Operations,Retail
152,2016,2016-11-20,3,Meets Expectations,numeric,High,false,205,IC2,BR,UX,Digital
153,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,70,IC4,BR,Data,Digital
154,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,242,IC1,BR,Customer Service,Customer
155,2016,2016-11-20,1,Below Expectations,numeric,Low,true,119,IC2,BR,Legal,Corporate
156,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,278,IC2,BR,People,Corporate
158,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,302,IC1,BR,Procurement,Supply Chain
159,2016,2016-11-20,3,Meets Expectations,numeric,High,true,223,IC1,BR,Visual Merchandising,Retail
160,2016,2016-11-20,1,Below Expectations,numeric,Low,false,144,IC2,BR,Sales,Retail
162,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,303,IC4,BR,Logistics,Supply Chain
163,2016,2016-11-20,2,Developing,numeric,High,false,165,IC1,BR,Customer Operations,Customer
165,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,252,IC2,BR,Customer Operations,Customer
166,2016,2016-11-20,5,Outstanding,numeric,Medium,false,243,IC2,BR,Procurement,Corporate
167,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,117,IC1,BR,Risk,Corporate
169,2016,2016-11-20,3,Meets Expectations,numeric,High,false,238,IC1,BR,Visual Merchandising,Retail
170,2016,2016-11-20,2,Developing,numeric,Medium,false,162,IC2,BR,Strategy,Corporate
171,2016,2016-11-20,3,Meets Expectations,numeric,High,false,194,IC4,BR,Customer Service,Customer
172,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,420,IC2,BR,Digital Marketing,Digital
173,2016,2016-11-20,3,Meets Expectations,numeric,High,false,11,IC1,BR,Visual Merchandising,Retail
174,2016,2016-11-20,3,Meets Expectations,numeric,High,false,34,IC2,BR,Regional Operations,Retail
175,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,286,IC2,BR,Procurement,Corporate
176,2016,2016-11-20,1,Below Expectations,numeric,Low,true,90,IC1,BR,Customer Experience,Customer
177,2016,2016-11-20,1,Below Expectations,numeric,High,false,129,IC5,BR,UX,Digital
179,2016,2016-11-20,5,Outstanding,numeric,Medium,false,9,IC1,BR,Planning,Supply Chain
181,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,14,M1,BR,Visual Merchandising,Retail
182,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,221,IC1,BR,Store Operations,Retail
183,2016,2016-11-20,2,Developing,numeric,Low,true,327,IC4,BR,People,Corporate
186,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,26,IC1,BR,Sales,Retail
187,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,62,M2,BR,Procurement,Corporate
188,2016,2016-11-20,5,Outstanding,numeric,Low,false,276,IC1,BR,Logistics,Supply Chain
189,2016,2016-11-20,3,Meets Expectations,numeric,High,false,171,IC2,BR,Customer Service,Customer
191,2016,2016-11-20,2,Developing,numeric,High,true,42,IC1,BR,Sales,Retail
192,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,310,IC5,BR,Product,Digital
193,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,261,M1,BR,Strategy,Corporate
194,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,246,M1,BR,Customer Experience,Customer
195,2016,2016-11-20,3,Meets Expectations,numeric,High,true,47,IC1,BR,Procurement,Corporate
196,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,307,IC5,BR,Legal,Corporate
197,2016,2016-11-20,2,Developing,numeric,High,true,70,IC4,BR,Data,Digital
199,2016,2016-11-20,2,Developing,numeric,High,false,310,IC3,BR,E-commerce,Digital
200,2016,2016-11-20,3,Meets Expectations,numeric,Low,true,298,IC2,BR,People,Corporate
201,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,144,IC2,BR,Sales,Retail
202,2016,2016-11-20,3,Meets Expectations,numeric,High,false,92,IC3,BR,Data & Analytics,Corporate
203,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,108,IC1,BR,Visual Merchandising,Retail
205,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,177,IC4,BR,UX,Digital
206,2016,2016-11-20,5,Outstanding,numeric,Low,true,277,IC1,BR,Logistics,Supply Chain
207,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,71,IC1,BR,Visual Merchandising,Retail
208,2016,2016-11-20,5,Outstanding,numeric,Medium,false,65,M1,BR,Regional Operations,Retail
209,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,280,IC1,BR,Store Operations,Retail
210,2016,2016-11-20,3,Meets Expectations,numeric,High,false,86,IC3,BR,Engineering,Digital
212,2016,2016-11-20,3,Meets Expectations,numeric,High,false,309,M4,BR,Visual Merchandising,Retail
214,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,210,IC2,BR,Engineering,Digital
215,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,138,IC2,BR,Procurement,Corporate
216,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,90,IC1,BR,Customer Experience,Customer
217,2016,2016-11-20,2,Developing,numeric,High,false,142,IC1,BR,Visual Merchandising,Retail
218,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,193,IC4,BR,Strategy,Corporate
220,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,282,IC1,BR,Regional Operations,Retail
221,2016,2016-11-20,2,Developing,numeric,High,false,129,IC2,BR,Store Operations,Retail
223,2016,2016-11-20,3,Meets Expectations,numeric,High,false,294,IC2,BR,Visual Merchandising,Retail
224,2016,2016-11-20,5,Outstanding,numeric,Low,false,170,IC1,BR,Visual Merchandising,Retail
225,2016,2016-11-20,3,Meets Expectations,numeric,High,false,90,IC1,BR,Customer Experience,Customer
227,2016,2016-11-20,2,Developing,numeric,Low,false,92,IC3,BR,Data & Analytics,Corporate
228,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,223,IC1,BR,Visual Merchandising,Retail
229,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,true,174,IC1,BR,Regional Operations,Retail
230,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,61,IC1,BR,Sales,Retail
231,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,288,IC1,BR,Customer Operations,Customer
232,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,202,IC2,BR,Data & Analytics,Corporate
233,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,14,M1,BR,Visual Merchandising,Retail
238,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,273,IC2,BR,Visual Merchandising,Retail
241,2016,2016-11-20,3,Meets Expectations,numeric,High,false,165,IC1,BR,Customer Operations,Customer
242,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,171,IC2,BR,Customer Service,Customer
243,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,171,IC3,BR,Customer Service,Customer
244,2016,2016-11-20,3,Meets Expectations,numeric,High,false,172,IC1,BR,Digital Marketing,Digital
245,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,4,IC1,BR,Customer Service,Customer
246,2016,2016-11-20,3,Meets Expectations,numeric,Low,true,10,M2,BR,Planning,Supply Chain
248,2016,2016-11-20,3,Meets Expectations,numeric,High,false,261,IC2,BR,Risk,Corporate
249,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,160,IC1,BR,Sales,Retail
250,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,399,IC1,BR,Sales,Retail
251,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,34,IC2,BR,Regional Operations,Retail
252,2016,2016-11-20,3,Meets Expectations,numeric,High,false,303,M1,BR,Customer Operations,Customer
253,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,189,IC1,BR,Customer Service,Customer
254,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,60,IC3,BR,Finance,Corporate
255,2016,2016-11-20,2,Developing,numeric,Medium,false,313,IC1,BR,Store Operations,Retail
256,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,201,IC1,BR,Sales,Retail
258,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,316,IC1,BR,Store Operations,Retail
260,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,129,IC3,BR,Store Operations,Retail
261,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,321,M2,BR,Risk,Corporate
262,2016,2016-11-20,2,Developing,numeric,Low,false,21,IC1,BR,Store Operations,Retail
263,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,288,IC1,BR,Customer Operations,Customer
264,2016,2016-11-20,5,Outstanding,numeric,Low,false,14,M1,BR,Visual Merchandising,Retail
268,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,242,IC1,BR,Customer Service,Customer
269,2016,2016-11-20,3,Meets Expectations,numeric,High,false,77,IC1,BR,Store Operations,Retail
270,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,273,IC2,BR,Visual Merchandising,Retail
271,2016,2016-11-20,3,Meets Expectations,numeric,High,false,305,IC1,BR,Planning,Supply Chain
272,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,108,IC1,BR,Visual Merchandising,Retail
273,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,true,140,IC3,BR,Visual Merchandising,Retail
274,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,5,IC1,BR,Regional Operations,Retail
275,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,127,IC1,BR,Store Operations,Retail
276,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,260,IC2,BR,Logistics,Supply Chain
277,2016,2016-11-20,2,Developing,numeric,Low,false,260,IC2,BR,Logistics,Supply Chain
278,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,327,IC3,BR,People,Corporate
279,2016,2016-11-20,2,Developing,numeric,Medium,false,142,IC1,BR,Visual Merchandising,Retail
280,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,129,IC2,BR,Store Operations,Retail
281,2016,2016-11-20,3,Meets Expectations,numeric,High,false,121,M2,BR,E-commerce,Digital
282,2016,2016-11-20,2,Developing,numeric,Medium,true,34,IC2,BR,Regional Operations,Retail
283,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,210,IC2,BR,Engineering,Digital
285,2016,2016-11-20,3,Meets Expectations,numeric,High,false,420,IC2,BR,Digital Marketing,Digital
286,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,187,IC4,BR,Procurement,Corporate
287,2016,2016-11-20,5,Outstanding,numeric,Medium,false,21,IC1,BR,Store Operations,Retail
288,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,252,IC2,BR,Customer Operations,Customer
289,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,170,IC1,BR,Visual Merchandising,Retail
290,2016,2016-11-20,1,Below Expectations,numeric,Medium,false,7,IC1,BR,Sales,Retail
292,2016,2016-11-20,2,Developing,numeric,Low,false,65,M1,BR,Sales,Retail
294,2016,2016-11-20,1,Below Expectations,numeric,High,false,181,IC3,BR,Visual Merchandising,Retail
295,2016,2016-11-20,5,Outstanding,numeric,Medium,false,10,M1,BR,Procurement,Supply Chain
296,2016,2016-11-20,1,Below Expectations,numeric,Medium,false,27,IC2,BR,Finance,Corporate
297,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,295,IC4,BR,Procurement,Supply Chain
298,2016,2016-11-20,2,Developing,numeric,Low,false,327,IC3,BR,People,Corporate
301,2016,2016-11-20,5,Outstanding,numeric,Medium,false,90,IC1,BR,Customer Experience,Customer
302,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,319,IC2,BR,Procurement,Supply Chain
303,2016,2016-11-20,2,Developing,numeric,Low,false,10,M2,BR,Logistics,Supply Chain
305,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,335,IC3,BR,Planning,Supply Chain
307,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,321,M2,BR,Legal,Corporate
308,2016,2016-11-20,5,Outstanding,numeric,High,false,260,IC2,BR,Store Operations,Retail
309,2016,2016-11-20,1,Below Expectations,numeric,Medium,false,62,M5,BR,Marketing,Corporate
310,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,121,M1,BR,E-commerce,Digital
312,2016,2016-11-20,2,Developing,numeric,Medium,true,24,IC1,BR,Sales,Retail
313,2016,2016-11-20,2,Developing,numeric,Medium,false,129,IC2,BR,Store Operations,Retail
315,2016,2016-11-20,3,Meets Expectations,numeric,High,false,48,IC1,BR,Distribution Centers,Supply Chain
316,2016,2016-11-20,2,Developing,numeric,Medium,false,260,IC2,BR,Store Operations,Retail
317,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,18,IC1,BR,Regional Operations,Retail
318,2016,2016-11-20,1,Below Expectations,numeric,Low,false,319,IC2,BR,Procurement,Supply Chain
319,2016,2016-11-20,3,Meets Expectations,numeric,High,false,297,IC3,BR,Procurement,Supply Chain
320,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,90,IC1,BR,Customer Experience,Customer
321,2016,2016-11-20,5,Outstanding,numeric,Medium,false,309,M4,BR,Marketing,Corporate
322,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,280,IC1,BR,Store Operations,Retail
323,2016,2016-11-20,1,Below Expectations,numeric,High,false,165,IC1,BR,Customer Operations,Customer
324,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,254,IC2,BR,Finance,Corporate
325,2016,2016-11-20,3,Meets Expectations,numeric,High,false,31,IC1,BR,Regional Operations,Retail
326,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,144,IC2,BR,Sales,Retail
327,2016,2016-11-20,3,Meets Expectations,numeric,High,false,307,M1,BR,People,Corporate
328,2016,2016-11-20,3,Meets Expectations,numeric,High,false,115,IC1,BR,UX,Digital
330,2016,2016-11-20,2,Developing,numeric,Low,false,277,IC1,BR,Logistics,Supply Chain
331,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,313,IC1,BR,Store Operations,Retail
333,2016,2016-11-20,5,Outstanding,numeric,High,false,26,IC1,BR,Sales,Retail
335,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,246,M1,BR,Planning,Supply Chain
336,2016,2016-11-20,3,Meets Expectations,numeric,Low,true,341,IC3,AR,Store Operations,Retail
337,2016,2016-11-20,2,Developing,numeric,Low,false,344,IC1,AR,Customer Service,Customer
339,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,343,IC3,AR,Distribution Centers,Supply Chain
