org_key,country,business_unit,department,sub_department,segment,cost_center,hc_weight,valid_from,valid_to,is_current
61,BR,Supply Chain,Distribution Centers,Outbound,supply,CC-BR-SUP-02,0.012499999999999995,2016-01-01,,true
62,BR,Supply Chain,Distribution Centers,Inventory,supply,CC-BR-SUP-02,0.012499999999999995,2016-01-01,,true
63,BR,Supply Chain,Procurement,Sourcing,supply,CC-BR-SUP-03,0.018749999999999996,2016-01-01,,true
64,BR,Supply Chain,Procurement,Supplier Management,supply,CC-BR-SUP-03,0.018749999999999996,2016-01-01,,true
65,BR,Supply Chain,Planning,Demand Planning,supply,CC-BR-SUP-04,0.018749999999999996,2016-01-01,,true
66,BR,Supply Chain,Planning,Supply Planning,supply,CC-BR-SUP-04,0.018749999999999996,2016-01-01,,true
67,BR,Customer,Customer Experience,CX Design,customer,CC-BR-CUS-01,0.021666666666666664,2016-01-01,,true
68,BR,Customer,Customer Experience,Voice of Customer,customer,CC-BR-CUS-01,0.021666666666666664,2016-01-01,,true
69,BR,Customer,Customer Service,Contact Center,customer,CC-BR-CUS-02,0.014444444444444442,2016-01-01,,true
70,BR,Customer,Customer Service,Chat,customer,CC-BR-CUS-02,0.014444444444444442,2016-01-01,,true
71,BR,Customer,Customer Service,Escalations,customer,CC-BR-CUS-02,0.014444444444444442,2016-01-01,,true
72,BR,Customer,Customer Operations,Order Support,customer,CC-BR-CUS-03,0.021666666666666664,2016-01-01,,true
73,BR,Customer,Customer Operations,Returns,customer,CC-BR-CUS-03,0.021666666666666664,2016-01-01,,true
74,BR,Marketplace,Marketplace Operations,Onboarding,digital,CC-BR-MKT-01,0.007777777777777777,2022-08-01,,true
75,BR,Marketplace,Marketplace Operations,Quality,digital,CC-BR-MKT-01,0.007777777777777777,2022-08-01,,true
76,BR,Marketplace,Seller Management,Seller Success,digital,CC-BR-MKT-02,0.007777777777777777,2022-08-01,,true
77,BR,Marketplace,Seller Management,Seller Growth,digital,CC-BR-MKT-02,0.007777777777777777,2022-08-01,,true
78,BR,Marketplace,Marketplace Technology,Integrations,digital,CC-BR-MKT-03,0.007777777777777777,2022-08-01,,true
79,BR,Marketplace,Marketplace Technology,Seller Platform,digital,CC-BR-MKT-03,0.007777777777777777,2022-08-01,,true
80,AR,Corporate,People,Talent Acquisition,corporate,CC-AR-COR-01,0.0010526315789473684,2016-01-01,,true
81,AR,Corporate,People,HR Business Partner,corporate,CC-AR-COR-01,0.0010526315789473684,2016-01-01,,true
82,AR,Corporate,People,Compensation & Benefits,corporate,CC-AR-COR-01,0.0010526315789473684,2016-01-01,,true
83,AR,Corporate,People,People Analytics,corporate,CC-AR-COR-01,0.0010526315789473684,2016-01-01,,true
84,AR,Corporate,People,Learning & Development,corporate,CC-AR-COR-01,0.0010526315789473684,2016-01-01,,true
85,AR,Corporate,Finance,Controlling,corporate,CC-AR-COR-02,0.0013157894736842105,2016-01-01,,true
86,AR,Corporate,Finance,Treasury,corporate,CC-AR-COR-02,0.0013157894736842105,2016-01-01,,true
87,AR,Corporate,Finance,Accounting,corporate,CC-AR-COR-02,0.0013157894736842105,2016-01-01,,true
88,AR,Corporate,Finance,FP&A,corporate,CC-AR-COR-02,0.0013157894736842105,2016-01-01,,true
89,AR,Corporate,Legal,Corporate Legal,corporate,CC-AR-COR-03,0.0017543859649122805,2016-01-01,,true
90,AR,Corporate,Legal,Compliance,corporate,CC-AR-COR-03,0.0017543859649122805,2016-01-01,,true
91,AR,Corporate,Legal,Labor Legal,corporate,CC-AR-COR-03,0.0017543859649122805,2016-01-01,,true
92,AR,Corporate,Marketing,Brand,corporate,CC-AR-COR-04,0.0013157894736842105,2016-01-01,,true
93,AR,Corporate,Marketing,Performance,corporate,CC-AR-COR-04,0.0013157894736842105,2016-01-01,,true
94,AR,Corporate,Marketing,CRM,corporate,CC-AR-COR-04,0.0013157894736842105,2016-01-01,,true
95,AR,Corporate,Marketing,Content,corporate,CC-AR-COR-04,0.0013157894736842105,2016-01-01,,true
96,AR,Corporate,Strategy,Corporate Strategy,corporate,CC-AR-COR-05,0.0017543859649122805,2016-01-01,,true
97,AR,Corporate,Strategy,M&A,corporate,CC-AR-COR-05,0.0017543859649122805,2016-01-01,,true
98,AR,Corporate,Strategy,PMO,corporate,CC-AR-COR-05,0.0017543859649122805,2016-01-01,,true
99,AR,Corporate,Procurement,Indirect Procurement,corporate,CC-AR-COR-06,0.002631578947368421,2016-01-01,,true
100,AR,Corporate,Procurement,Contracts,corporate,CC-AR-COR-06,0.002631578947368421,2016-01-01,,true
101,AR,Corporate,Risk,Internal Audit,corporate,CC-AR-COR-07,0.0017543859649122805,2016-01-01,,true
102,AR,Corporate,Risk,Risk Management,corporate,CC-AR-COR-07,0.0017543859649122805,2016-01-01,,true
103,AR,Corporate,Risk,Fraud,corporate,CC-AR-COR-07,0.0017543859649122805,2016-01-01,,true
104,AR,Corporate,Data & Analytics,Business Intelligence,corporate,CC-AR-COR-08,0.002631578947368421,2016-01-01,,true
105,AR,Corporate,Data & Analytics,Data Governance,corporate,CC-AR-COR-08,0.002631578947368421,2016-01-01,,true
106,AR,Digital,Engineering,Platform,digital,CC-AR-DIG-01,0.0006140350877192983,2016-01-01,,true
107,AR,Digital,Engineering,Backend,digital,CC-AR-DIG-01,0.0006140350877192983,2016-01-01,,true
108,AR,Digital,Engineering,Frontend,digital,CC-AR-DIG-01,0.0006140350877192983,2016-01-01,,true
109,AR,Digital,Engineering,Mobile,digital,CC-AR-DIG-01,0.0006140350877192983,2016-01-01,,true
110,AR,Digital,Engineering,SRE,digital,CC-AR-DIG-01,0.0006140350877192983,2016-01-01,,true
111,AR,Digital,Product,Product Management,digital,CC-AR-DIG-02,0.0015350877192982456,2016-01-01,,true
112,AR,Digital,Product,Product Ops,digital,CC-AR-DIG-02,0.0015350877192982456,2016-01-01,,true
113,AR,Digital,Data,Data Engineering,digital,CC-AR-DIG-03,0.0010233918128654971,2016-01-01,,true
114,AR,Digital,Data,Data Science,digital,CC-AR-DIG-03,0.0010233918128654971,2016-01-01,,true
115,AR,Digital,Data,Analytics Engineering,digital,CC-AR-DIG-03,0.0010233918128654971,2016-01-01,,true
116,AR,Digital,UX,Product Design,digital,CC-AR-DIG-04,0.0010233918128654971,2016-01-01,,true
117,AR,Digital,UX,Research,digital,CC-AR-DIG-04,0.0010233918128654971,2016-01-01,,true
118,AR,Digital,UX,Design System,digital,CC-AR-DIG-04,0.0010233918128654971,2016-01-01,,true
119,AR,Digital,E-commerce,Storefront,digital,CC-AR-DIG-05,0.0010233918128654971,2016-01-01,,true
120,AR,Digital,E-commerce,Checkout,digital,CC-AR-DIG-05,0.0010233918128654971,2016-01-01,,true
121,AR,Digital,E-commerce,Catalog,digital,CC-AR-DIG-05,0.0010233918128654971,2016-01-01,,true
122,AR,Digital,Digital Marketing,SEO,digital,CC-AR-DIG-06,0.0010233918128654971,2016-01-01,,true
123,AR,Digital,Digital Marketing,Paid Media,digital,CC-AR-DIG-06,0.0010233918128654971,2016-01-01,,true
124,AR,Digital,Digital Marketing,Lifecycle,digital,CC-AR-DIG-06,0.0010233918128654971,2016-01-01,,true
125,AR,Retail,Store Operations,Store Management,retail_ops,CC-AR-RET-01,0.03453947368421052,2016-01-01,,true
126,AR,Retail,Store Operations,Cashier,retail_ops,CC-AR-RET-01,0.03453947368421052,2016-01-01,,true
127,AR,Retail,Store Operations,Stockroom,retail_ops,CC-AR-RET-01,0.03453947368421052,2016-01-01,,true
128,AR,Retail,Store Operations,Security,retail_ops,CC-AR-RET-01,0.03453947368421052,2016-01-01,,true
129,AR,Retail,Sales,Floor Sales,retail_ops,CC-AR-RET-02,0.06907894736842105,2016-01-01,,true
130,AR,Retail,Sales,Key Accounts,retail_ops,CC-AR-RET-02,0.06907894736842105,2016-01-01,,true
131,AR,Retail,Regional Operations,Region North,retail_ops,CC-AR-RET-03,0.046052631578947366,2016-01-01,,true
132,AR,Retail,Regional Operations,Region Southeast,retail_ops,CC-AR-RET-03,0.046052631578947366,2016-01-01,,true
133,AR,Retail,Regional Operations,Region South,retail_ops,CC-AR-RET-03,0.046052631578947366,2016-01-01,,true
134,AR,Retail,Visual Merchandising,Store Design,retail_ops,CC-AR-RET-04,0.06907894736842105,2016-01-01,,true
135,AR,Retail,Visual Merchandising,Merchandising,retail_ops,CC-AR-RET-04,0.06907894736842105,2016-01-01,,true
136,AR,Supply Chain,Logistics,Transportation,supply,CC-AR-SUP-01,0.01644736842105263,2016-01-01,,true
137,AR,Supply Chain,Logistics,Last Mile,supply,CC-AR-SUP-01,0.01644736842105263,2016-01-01,,true
138,AR,Supply Chain,Logistics,Reverse Logistics,supply,CC-AR-SUP-01,0.01644736842105263,2016-01-01,,true
139,AR,Supply Chain,Distribution Centers,Inbound,supply,CC-AR-SUP-02,0.01644736842105263,2016-01-01,,true
140,AR,Supply Chain,Distribution Centers,Outbound,supply,CC-AR-SUP-02,0.01644736842105263,2016-01-01,,true
141,AR,Supply Chain,Distribution Centers,Inventory,supply,CC-AR-SUP-02,0.01644736842105263,2016-01-01,,true
142,AR,Supply Chain,Procurement,Sourcing,supply,CC-AR-SUP-03,0.024671052631578948,2016-01-01,,true
143,AR,Supply Chain,Procurement,Supplier Management,supply,CC-AR-SUP-03,0.024671052631578948,2016-01-01,,true
144,AR,Supply Chain,Planning,Demand Planning,supply,CC-AR-SUP-04,0.024671052631578948,2016-01-01,,true
145,AR,Supply Chain,Planning,Supply Planning,supply,CC-AR-SUP-04,0.024671052631578948,2016-01-01,,true
146,AR,Customer,Customer Experience,CX Design,customer,CC-AR-CUS-01,0.028508771929824563,2016-01-01,,true
147,AR,Customer,Customer Experience,Voice of Customer,customer,CC-AR-CUS-01,0.028508771929824563,2016-01-01,,true
148,AR,Customer,Customer Service,Contact Center,customer,CC-AR-CUS-02,0.019005847953216377,2016-01-01,,true
149,AR,Customer,Customer Service,Chat,customer,CC-AR-CUS-02,0.019005847953216377,2016-01-01,,true
150,AR,Customer,Customer Service,Escalations,customer,CC-AR-CUS-02,0.019005847953216377,2016-01-01,,true
151,AR,Customer,Customer Operations,Order Support,customer,CC-AR-CUS-03,0.028508771929824563,2016-01-01,,true
152,AR,Customer,Customer Operations,Returns,customer,CC-AR-CUS-03,0.028508771929824563,2016-01-01,,true
153,AR,Marketplace,Marketplace Operations,Onboarding,digital,CC-AR-MKT-01,0.0030701754385964912,2022-08-01,,true
154,AR,Marketplace,Marketplace Operations,Quality,digital,CC-AR-MKT-01,0.0030701754385964912,2022-08-01,,true
155,AR,Marketplace,Seller Management,Seller Success,digital,CC-AR-MKT-02,0.0030701754385964912,2022-08-01,,true
156,AR,Marketplace,Seller Management,Seller Growth,digital,CC-AR-MKT-02,0.0030701754385964912,2022-08-01,,true
157,AR,Marketplace,Marketplace Technology,Integrations,digital,CC-AR-MKT-03,0.0030701754385964912,2022-08-01,,true
158,AR,Marketplace,Marketplace Technology,Seller Platform,digital,CC-AR-MKT-03,0.0030701754385964912,2022-08-01,,true
159,CL,Corporate,People,Talent Acquisition,corporate,CC-CL-COR-01,0.0008078994614003589,2016-01-01,,true
160,CL,Corporate,People,HR Business Partner,corporate,CC-CL-COR-01,0.0008078994614003589,2016-01-01,,true
161,CL,Corporate,People,Compensation & Benefits,corporate,CC-CL-COR-01,0.0008078994614003589,2016-01-01,,true
162,CL,Corporate,People,People Analytics,corporate,CC-CL-COR-01,0.0008078994614003589,2016-01-01,,true
163,CL,Corporate,People,Learning & Development,corporate,CC-CL-COR-01,0.0008078994614003589,2016-01-01,,true
164,CL,Corporate,Finance,Controlling,corporate,CC-CL-COR-02,0.0010098743267504488,2016-01-01,,true
165,CL,Corporate,Finance,Treasury,corporate,CC-CL-COR-02,0.0010098743267504488,2016-01-01,,true
166,CL,Corporate,Finance,Accounting,corporate,CC-CL-COR-02,0.0010098743267504488,2016-01-01,,true
167,CL,Corporate,Finance,FP&A,corporate,CC-CL-COR-02,0.0010098743267504488,2016-01-01,,true
168,CL,Corporate,Legal,Corporate Legal,corporate,CC-CL-COR-03,0.0013464991023339316,2016-01-01,,true
169,CL,Corporate,Legal,Compliance,corporate,CC-CL-COR-03,0.0013464991023339316,2016-01-01,,true
170,CL,Corporate,Legal,Labor Legal,corporate,CC-CL-COR-03,0.0013464991023339316,2016-01-01,,true
171,CL,Corporate,Marketing,Brand,corporate,CC-CL-COR-04,0.0010098743267504488,2016-01-01,,true
172,CL,Corporate,Marketing,Performance,corporate,CC-CL-COR-04,0.0010098743267504488,2016-01-01,,true
173,CL,Corporate,Marketing,CRM,corporate,CC-CL-COR-04,0.0010098743267504488,2016-01-01,,true
174,CL,Corporate,Marketing,Content,corporate,CC-CL-COR-04,0.0010098743267504488,2016-01-01,,true
175,CL,Corporate,Strategy,Corporate Strategy,corporate,CC-CL-COR-05,0.0013464991023339316,2016-01-01,,true
176,CL,Corporate,Strategy,M&A,corporate,CC-CL-COR-05,0.0013464991023339316,2016-01-01,,true
177,CL,Corporate,Strategy,PMO,corporate,CC-CL-COR-05,0.0013464991023339316,2016-01-01,,true
178,CL,Corporate,Procurement,Indirect Procurement,corporate,CC-CL-COR-06,0.0020197486535008975,2016-01-01,,true
179,CL,Corporate,Procurement,Contracts,corporate,CC-CL-COR-06,0.0020197486535008975,2016-01-01,,true
180,CL,Corporate,Risk,Internal Audit,corporate,CC-CL-COR-07,0.0013464991023339316,2016-01-01,,true
181,CL,Corporate,Risk,Risk Management,corporate,CC-CL-COR-07,0.0013464991023339316,2016-01-01,,true
182,CL,Corporate,Risk,Fraud,corporate,CC-CL-COR-07,0.0013464991023339316,2016-01-01,,true
183,CL,Corporate,Data & Analytics,Business Intelligence,corporate,CC-CL-COR-08,0.0020197486535008975,2016-01-01,,true
184,CL,Corporate,Data & Analytics,Data Governance,corporate,CC-CL-COR-08,0.0020197486535008975,2016-01-01,,true
185,CL,Digital,Engineering,Platform,digital,CC-CL-DIG-01,0.00041891083183722317,2016-01-01,,true
186,CL,Digital,Engineering,Backend,digital,CC-CL-DIG-01,0.00041891083183722317,2016-01-01,,true
187,CL,Digital,Engineering,Frontend,digital,CC-CL-DIG-01,0.00041891083183722317,2016-01-01,,true
188,CL,Digital,Engineering,Mobile,digital,CC-CL-DIG-01,0.00041891083183722317,2016-01-01,,true
189,CL,Digital,Engineering,SRE,digital,CC-CL-DIG-01,0.00041891083183722317,2016-01-01,,true
190,CL,Digital,Product,Product Management,digital,CC-CL-DIG-02,0.001047277079593058,2016-01-01,,true
191,CL,Digital,Product,Product Ops,digital,CC-CL-DIG-02,0.001047277079593058,2016-01-01,,true
192,CL,Digital,Data,Data Engineering,digital,CC-CL-DIG-03,0.0006981847197287053,2016-01-01,,true
193,CL,Digital,Data,Data Science,digital,CC-CL-DIG-03,0.0006981847197287053,2016-01-01,,true
194,CL,Digital,Data,Analytics Engineering,digital,CC-CL-DIG-03,0.0006981847197287053,2016-01-01,,true
195,CL,Digital,UX,Product Design,digital,CC-CL-DIG-04,0.0006981847197287053,2016-01-01,,true
196,CL,Digital,UX,Research,digital,CC-CL-DIG-04,0.0006981847197287053,2016-01-01,,true
197,CL,Digital,UX,Design System,digital,CC-CL-DIG-04,0.0006981847197287053,2016-01-01,,true
198,CL,Digital,E-commerce,Storefront,digital,CC-CL-DIG-05,0.0006981847197287053,2016-01-01,,true
199,CL,Digital,E-commerce,Checkout,digital,CC-CL-DIG-05,0.0006981847197287053,2016-01-01,,true
200,CL,Digital,E-commerce,Catalog,digital,CC-CL-DIG-05,0.0006981847197287053,2016-01-01,,true
201,CL,Digital,Digital Marketing,SEO,digital,CC-CL-DIG-06,0.0006981847197287053,2016-01-01,,true
202,CL,Digital,Digital Marketing,Paid Media,digital,CC-CL-DIG-06,0.0006981847197287053,2016-01-01,,true
203,CL,Digital,Digital Marketing,Lifecycle,digital,CC-CL-DIG-06,0.0006981847197287053,2016-01-01,,true
204,CL,Retail,Store Operations,Store Management,retail_ops,CC-CL-RET-01,0.0353456014362657,2016-01-01,,true
205,CL,Retail,Store Operations,Cashier,retail_ops,CC-CL-RET-01,0.0353456014362657,2016-01-01,,true
206,CL,Retail,Store Operations,Stockroom,retail_ops,CC-CL-RET-01,0.0353456014362657,2016-01-01,,true
207,CL,Retail,Store Operations,Security,retail_ops,CC-CL-RET-01,0.0353456014362657,2016-01-01,,true
208,CL,Retail,Sales,Floor Sales,retail_ops,CC-CL-RET-02,0.0706912028725314,2016-01-01,,true
209,CL,Retail,Sales,Key Accounts,retail_ops,CC-CL-RET-02,0.0706912028725314,2016-01-01,,true
210,CL,Retail,Regional Operations,Region North,retail_ops,CC-CL-RET-03,0.0471274685816876,2016-01-01,,true
211,CL,Retail,Regional Operations,Region Southeast,retail_ops,CC-CL-RET-03,0.0471274685816876,2016-01-01,,true
212,CL,Retail,Regional Operations,Region South,retail_ops,CC-CL-RET-03,0.0471274685816876,2016-01-01,,true
213,CL,Retail,Visual Merchandising,Store Design,retail_ops,CC-CL-RET-04,0.0706912028725314,2016-01-01,,true
214,CL,Retail,Visual Merchandising,Merchandising,retail_ops,CC-CL-RET-04,0.0706912028725314,2016-01-01,,true
215,CL,Supply Chain,Logistics,Transportation,supply,CC-CL-SUP-01,0.016831238779174144,2016-01-01,,true
216,CL,Supply Chain,Logistics,Last Mile,supply,CC-CL-SUP-01,0.016831238779174144,2016-01-01,,true
217,CL,Supply Chain,Logistics,Reverse Logistics,supply,CC-CL-SUP-01,0.016831238779174144,2016-01-01,,true
218,CL,Supply Chain,Distribution Centers,Inbound,supply,CC-CL-SUP-02,0.016831238779174144,2016-01-01,,true
219,CL,Supply Chain,Distribution Centers,Outbound,supply,CC-CL-SUP-02,0.016831238779174144,2016-01-01,,true
220,CL,Supply Chain,Distribution Centers,Inventory,supply,CC-CL-SUP-02,0.016831238779174144,2016-01-01,,true
221,CL,Supply Chain,Procurement,Sourcing,supply,CC-CL-SUP-03,0.025246858168761214,2016-01-01,,true
222,CL,Supply Chain,Procurement,Supplier Management,supply,CC-CL-SUP-03,0.025246858168761214,2016-01-01,,true
223,CL,Supply Chain,Planning,Demand Planning,supply,CC-CL-SUP-04,0.025246858168761214,2016-01-01,,true
224,CL,Supply Chain,Planning,Supply Planning,supply,CC-CL-SUP-04,0.025246858168761214,2016-01-01,,true
225,CL,Customer,Customer Experience,CX Design,customer,CC-CL-CUS-01,0.029174147217235186,2016-01-01,,true
226,CL,Customer,Customer Experience,Voice of Customer,customer,CC-CL-CUS-01,0.029174147217235186,2016-01-01,,true
227,CL,Customer,Customer Service,Contact Center,customer,CC-CL-CUS-02,0.01944943147815679,2016-01-01,,true
228,CL,Customer,Customer Service,Chat,customer,CC-CL-CUS-02,0.01944943147815679,2016-01-01,,true
229,CL,Customer,Customer Service,Escalations,customer,CC-CL-CUS-02,0.01944943147815679,2016-01-01,,true
230,CL,Customer,Customer Operations,Order Support,customer,CC-CL-CUS-03,0.029174147217235186,2016-01-01,,true
231,CL,Customer,Customer Operations,Returns,customer,CC-CL-CUS-03,0.029174147217235186,2016-01-01,,true
232,CL,Marketplace,Marketplace Operations,Onboarding,digital,CC-CL-MKT-01,0.002094554159186116,2022-08-01,,true
233,CL,Marketplace,Marketplace Operations,Quality,digital,CC-CL-MKT-01,0.002094554159186116,2022-08-01,,true
234,CL,Marketplace,Seller Management,Seller Success,digital,CC-CL-MKT-02,0.002094554159186116,2022-08-01,,true
235,CL,Marketplace,Seller Management,Seller Growth,digital,CC-CL-MKT-02,0.002094554159186116,2022-08-01,,true
236,CL,Marketplace,Marketplace Technology,Integrations,digital,CC-CL-MKT-03,0.002094554159186116,2022-08-01,,true
237,CL,Marketplace,Marketplace Technology,Seller Platform,digital,CC-CL-MKT-03,0.002094554159186116,2022-08-01,,true
238,CO,Corporate,People,Talent Acquisition,corporate,CC-CO-COR-01,0.0008078994614003589,2016-01-01,,true
239,CO,Corporate,People,HR Business Partner,corporate,CC-CO-COR-01,0.0008078994614003589,2016-01-01,,true
240,CO,Corporate,People,Compensation & Benefits,corporate,CC-CO-COR-01,0.0008078994614003589,2016-01-01,,true
241,CO,Corporate,People,People Analytics,corporate,CC-CO-COR-01,0.0008078994614003589,2016-01-01,,true
242,CO,Corporate,People,Learning & Development,corporate,CC-CO-COR-01,0.0008078994614003589,2016-01-01,,true
243,CO,Corporate,Finance,Controlling,corporate,CC-CO-COR-02,0.0010098743267504488,2016-01-01,,true
244,CO,Corporate,Finance,Treasury,corporate,CC-CO-COR-02,0.0010098743267504488,2016-01-01,,true
245,CO,Corporate,Finance,Accounting,corporate,CC-CO-COR-02,0.0010098743267504488,2016-01-01,,true
246,CO,Corporate,Finance,FP&A,corporate,CC-CO-COR-02,0.0010098743267504488,2016-01-01,,true
247,CO,Corporate,Legal,Corporate Legal,corporate,CC-CO-COR-03,0.0013464991023339316,2016-01-01,,true
248,CO,Corporate,Legal,Compliance,corporate,CC-CO-COR-03,0.0013464991023339316,2016-01-01,,true
249,CO,Corporate,Legal,Labor Legal,corporate,CC-CO-COR-03,0.0013464991023339316,2016-01-01,,true
250,CO,Corporate,Marketing,Brand,corporate,CC-CO-COR-04,0.0010098743267504488,2016-01-01,,true
