employee_id,survey_date,survey_cycle,engagement_score,eNPS,manager_score,belonging_score,response_flag,country,department,business_unit,job_level,manager_id
30,2017-09-15,2017,3.462874399312876,5.0,4.0948245837982435,2.744411038462238,1,BR,Customer Operations,Customer,IC1,165
31,2017-09-15,2017,3.2634327461407664,5.0,3.1031588543910513,3.3336214380907276,1,BR,Regional Operations,Retail,IC2,34
32,2017-09-15,2017,3.5098814517183747,5.0,4.311380153156751,3.4225225869890106,1,BR,Visual Merchandising,Retail,IC2,294
33,2017-09-15,2017,4.014499349633683,5.0,3.912179438765255,2.8191408403342306,1,BR,Sales,Retail,IC1,61
34,2017-09-15,2017,,,,,0,BR,Regional Operations,Retail,IC3,98
36,2017-09-15,2017,3.1583436200430652,5.0,2.576142916640049,2.796572403792239,1,BR,Distribution Centers,Supply Chain,IC1,48
42,2017-09-15,2017,,,,,0,BR,Sales,Retail,IC2,585
43,2017-09-15,2017,3.1670668975349017,5.0,2.2058919084117106,4.386670784977842,1,BR,Distribution Centers,Supply Chain,IC2,517
45,2017-09-15,2017,3.305300792012968,5.0,4.130990629216738,3.8603493150852684,1,BR,Procurement,Corporate,IC4,187
46,2017-09-15,2017,,,,,0,BR,Procurement,Supply Chain,IC1,49
47,2017-09-15,2017,3.407444361224143,5.0,3.1681740863647647,3.170421878413066,1,BR,Procurement,Corporate,IC3,45
48,2017-09-15,2017,2.92117274387188,5.0,2.375374822651016,3.4436611939225865,1,BR,Distribution Centers,Supply Chain,IC3,297
49,2017-09-15,2017,3.364072074662521,5.0,3.67770515518478,2.9903820755537827,1,BR,Procurement,Supply Chain,IC2,319
50,2017-09-15,2017,3.886501807386104,5.0,4.012817411356348,4.3068456001792885,1,BR,Data & Analytics,Corporate,IC1,384
55,2017-09-15,2017,,,,,0,BR,Legal,Corporate,IC2,119
57,2017-09-15,2017,,,,,0,BR,People,Corporate,IC1,156
59,2017-09-15,2017,,,,,0,BR,Strategy,Corporate,IC1,162
60,2017-09-15,2017,,,,,0,BR,Marketing,Corporate,IC4,321
61,2017-09-15,2017,,,,,0,BR,Sales,Retail,IC2,585
62,2017-09-15,2017,3.3224373805193337,5.0,3.0172173759403047,3.4462883775164257,1,BR,Procurement,Corporate,D1,
63,2017-09-15,2017,3.082938258324001,5.0,3.6999551341824857,2.9426991066827304,1,BR,Distribution Centers,Supply Chain,IC1,48
64,2017-09-15,2017,3.104798905676643,5.0,2.492040180965571,3.7966837145148156,1,BR,Sales,Retail,IC1,139
65,2017-09-15,2017,3.9194103684706136,5.0,4.3260876319728006,4.960892960629941,1,BR,Sales,Retail,M2,14
66,2017-09-15,2017,3.962861863115807,5.0,4.500926560088622,3.987918322858628,1,BR,Store Operations,Retail,IC1,21
69,2017-09-15,2017,4.781942044086622,10.0,4.412021193689146,4.788906303645189,1,BR,Logistics,Supply Chain,IC1,276
70,2017-09-15,2017,3.9583236294396382,5.0,4.41965973771463,4.729945817184243,1,BR,Data,Digital,M2,121
71,2017-09-15,2017,,,,,0,BR,Visual Merchandising,Retail,IC2,273
72,2017-09-15,2017,3.192300396397373,5.0,2.8167726263816624,5.0,1,BR,Risk,Corporate,IC1,73
73,2017-09-15,2017,4.028574461980117,5.0,4.941847859315173,5.0,1,BR,Risk,Corporate,IC2,261
74,2017-09-15,2017,2.569674616881192,0.0,2.1235369463643186,2.993723656789468,1,BR,Sales,Retail,IC1,160
75,2017-09-15,2017,3.428658579929663,5.0,2.710034480645448,2.2642832000310205,1,BR,Legal,Corporate,IC1,155
76,2017-09-15,2017,3.2436783382934276,5.0,3.012218684838919,3.0155465908784107,1,BR,People,Corporate,IC1,200
77,2017-09-15,2017,,,,,0,BR,Store Operations,Retail,IC2,467
78,2017-09-15,2017,3.919002142916651,5.0,3.761095164987429,2.727313153704946,1,BR,Visual Merchandising,Retail,IC2,586
79,2017-09-15,2017,,,,,0,BR,Sales,Retail,M1,65
80,2017-09-15,2017,,,,,0,BR,Regional Operations,Retail,IC1,31
81,2017-09-15,2017,,,,,0,BR,Product,Digital,M1,281
82,2017-09-15,2017,2.517087791738062,0.0,1.6246822461111985,1.6218234170067551,1,BR,Procurement,Corporate,IC4,187
83,2017-09-15,2017,4.138631207582968,5.0,3.6411980591297324,3.7938878494703894,1,BR,Customer Service,Customer,IC1,242
84,2017-09-15,2017,,,,,0,BR,Procurement,Supply Chain,IC1,318
85,2017-09-15,2017,4.2538953460979805,5.0,3.9208909205279467,4.13920788222221,1,BR,Sales,Retail,IC1,391
86,2017-09-15,2017,3.8139840333821278,5.0,3.3115544667173693,3.337932738192672,1,BR,Engineering,Digital,IC4,177
88,2017-09-15,2017,,,,,0,BR,Procurement,Corporate,IC2,138
89,2017-09-15,2017,,,,,0,BR,Finance,Corporate,IC3,218
90,2017-09-15,2017,3.800155212242171,5.0,2.2488040706869477,4.4367323779505545,1,BR,Customer Experience,Customer,IC2,194
91,2017-09-15,2017,,,,,0,BR,Store Operations,Retail,IC1,308
92,2017-09-15,2017,4.167022574607268,5.0,3.8752182226102865,3.6628290247451782,1,BR,Data & Analytics,Corporate,IC4,196
93,2017-09-15,2017,4.160200788370624,5.0,3.5108582541892472,4.500816702931227,1,BR,Customer Service,Customer,IC1,189
94,2017-09-15,2017,3.5758955168573134,5.0,3.753849693288438,3.9400390002534027,1,BR,Store Operations,Retail,IC1,316
95,2017-09-15,2017,4.2119086873535485,5.0,4.765157797188224,3.838965664574304,1,BR,Regional Operations,Retail,IC1,251
96,2017-09-15,2017,3.752039536725223,5.0,3.6850429180285036,3.9506487346305397,1,BR,Visual Merchandising,Retail,IC1,142
98,2017-09-15,2017,,,,,0,BR,Regional Operations,Retail,M1,65
100,2017-09-15,2017,3.2766025547581963,5.0,3.094284201484236,2.651446522514933,1,BR,Finance,Corporate,IC2,254
101,2017-09-15,2017,2.66317201769796,0.0,3.231782414988617,1.0035171704766257,1,BR,Customer Operations,Customer,IC1,550
102,2017-09-15,2017,4.3408376962575685,10.0,4.452269472630078,5.0,1,BR,Customer Experience,Customer,IC1,90
105,2017-09-15,2017,,,,,0,BR,Finance,Corporate,IC1,296
106,2017-09-15,2017,3.3161318336109726,5.0,2.3299047075248525,3.8943155650324615,1,BR,E-commerce,Digital,IC2,199
107,2017-09-15,2017,3.604135625059327,5.0,3.368728287537258,3.1734016982136772,1,BR,Sales,Retail,IC1,139
109,2017-09-15,2017,,,,,0,BR,Distribution Centers,Supply Chain,IC2,48
113,2017-09-15,2017,3.908351865171724,5.0,4.347337620951737,3.5947869396578698,1,BR,People,Corporate,IC2,183
115,2017-09-15,2017,,,,,0,BR,Regional Operations,Retail,IC2,518
116,2017-09-15,2017,3.163720057581377,5.0,2.058181089898402,2.867174901328914,1,BR,Product,Digital,IC2,6
117,2017-09-15,2017,3.045698872705895,5.0,3.17057926742666,3.4825130539641966,1,BR,Risk,Corporate,IC2,261
118,2017-09-15,2017,2.7241112858881924,0.0,2.7732386774497977,3.571167542958232,1,BR,Product,Digital,IC2,81
119,2017-09-15,2017,2.9663441959236843,5.0,2.931314259968211,5.0,1,BR,Legal,Corporate,IC4,196
121,2017-09-15,2017,3.453000301057374,5.0,2.958518974600807,4.027491095532878,1,BR,Sales,Retail,M4,309
123,2017-09-15,2017,,,,,0,BR,Customer Service,Customer,IC1,242
126,2017-09-15,2017,4.0526280205657335,5.0,4.549114746584463,3.146198662111596,1,BR,Logistics,Supply Chain,IC1,568
128,2017-09-15,2017,,,,,0,BR,Sales,Retail,IC2,585
130,2017-09-15,2017,,,,,0,BR,Customer Experience,Customer,IC1,90
131,2017-09-15,2017,3.0671307822513025,5.0,2.568251969285302,4.117750043353137,1,BR,Store Operations,Retail,IC1,189
132,2017-09-15,2017,,,,,0,BR,Strategy,Corporate,IC1,494
133,2017-09-15,2017,2.2981045207571054,0.0,2.2783130551549737,2.839864267855268,1,BR,Customer Experience,Customer,IC1,90
134,2017-09-15,2017,3.8457938478547553,5.0,3.71960180521477,3.761144369497422,1,BR,Customer Service,Customer,IC1,189
137,2017-09-15,2017,3.1924428869041863,5.0,3.41814070248487,3.812814331334267,1,BR,Procurement,Corporate,IC1,166
138,2017-09-15,2017,3.839125131875501,5.0,4.505420053065393,4.675041454667985,1,BR,Procurement,Corporate,IC3,45
139,2017-09-15,2017,3.675651394823656,5.0,3.750551349133227,4.4258557236086595,1,BR,Sales,Retail,IC2,585
140,2017-09-15,2017,3.8691242501737344,5.0,3.465465325226238,2.319373480659075,1,BR,Visual Merchandising,Retail,M1,14
141,2017-09-15,2017,,,,,0,BR,Sales,Retail,M1,65
142,2017-09-15,2017,,,,,0,BR,Sales,Retail,IC2,585
143,2017-09-15,2017,4.346559397494406,10.0,4.8908625048758765,4.44654810375676,1,BR,Procurement,Supply Chain,IC1,430
146,2017-09-15,2017,,,,,0,BR,Regional Operations,Retail,IC2,34
148,2017-09-15,2017,,,,,0,BR,Planning,Supply Chain,IC1,9
149,2017-09-15,2017,5.0,10.0,5.0,4.733984683566445,1,BR,Distribution Centers,Supply Chain,IC1,48
150,2017-09-15,2017,4.21990559228753,5.0,5.0,4.8228368361522795,1,BR,Customer Service,Customer,IC1,461
151,2017-09-15,2017,,,,,0,BR,Store Operations,Retail,IC1,280
152,2017-09-15,2017,,,,,0,BR,UX,Digital,IC2,205
153,2017-09-15,2017,3.8190562180218985,5.0,4.99807746250135,3.276525327446174,1,BR,Data,Digital,M1,70
155,2017-09-15,2017,,,,,0,BR,Legal,Corporate,IC2,119
156,2017-09-15,2017,3.201152331410511,5.0,3.1846343854828,2.9637270460793275,1,BR,People,Corporate,IC2,278
158,2017-09-15,2017,4.094408658173623,5.0,4.194110987226733,4.3506240464557315,1,BR,Procurement,Supply Chain,IC1,302
160,2017-09-15,2017,,,,,0,BR,Sales,Retail,IC2,585
162,2017-09-15,2017,,,,,0,BR,Sales,Retail,IC4,79
165,2017-09-15,2017,,,,,0,BR,Customer Operations,Customer,IC2,252
166,2017-09-15,2017,,,,,0,BR,Distribution Centers,Supply Chain,IC2,517
167,2017-09-15,2017,,,,,0,BR,Store Operations,Retail,IC1,522
169,2017-09-15,2017,4.006182397480587,5.0,4.855177386301128,4.420839585226258,1,BR,Visual Merchandising,Retail,IC1,238
171,2017-09-15,2017,2.5387251956854806,0.0,2.66099545698638,2.442646768631314,1,BR,Customer Service,Customer,IC4,194
172,2017-09-15,2017,2.12654233299103,0.0,2.335378519966031,1.2338664209415229,1,BR,Digital Marketing,Digital,IC2,420
173,2017-09-15,2017,3.4348831982753616,5.0,3.8097068599966306,4.401682654871735,1,BR,Visual Merchandising,Retail,IC2,294
174,2017-09-15,2017,,,,,0,BR,Regional Operations,Retail,IC2,34
175,2017-09-15,2017,,,,,0,BR,Procurement,Corporate,IC2,286
177,2017-09-15,2017,3.9593543741432864,5.0,4.22824607252401,3.552013108409189,1,BR,UX,Digital,IC5,528
179,2017-09-15,2017,3.4136425899378704,5.0,3.3290648531803826,4.147973884582511,1,BR,Planning,Supply Chain,IC1,9
181,2017-09-15,2017,,,,,0,BR,Visual Merchandising,Retail,M1,14
182,2017-09-15,2017,3.4592762971667375,5.0,2.978929255311159,3.952175619807401,1,BR,Store Operations,Retail,IC1,77
183,2017-09-15,2017,4.242998969302798,5.0,5.0,2.7791406742716336,1,BR,People,Corporate,IC4,327
186,2017-09-15,2017,,,,,0,BR,Sales,Retail,IC1,26
187,2017-09-15,2017,4.799056395071728,10.0,4.659478289017097,4.096845978378914,1,BR,Procurement,Corporate,M2,62
188,2017-09-15,2017,3.8718977234469,5.0,4.511698088381862,3.7434028320050032,1,BR,Logistics,Supply Chain,IC1,276
189,2017-09-15,2017,3.1686245279373253,5.0,2.7911640297377107,3.8185517843752974,1,BR,Customer Service,Customer,IC2,171
191,2017-09-15,2017,3.557599598912282,5.0,3.8328855713613357,3.717638392797617,1,BR,Sales,Retail,IC1,42
192,2017-09-15,2017,3.503024396846338,5.0,2.243898439205018,2.795804232872397,1,BR,Product,Digital,IC5,310
193,2017-09-15,2017,4.268425615372098,5.0,4.953680741755303,4.065146751715655,1,BR,Strategy,Corporate,M1,261
194,2017-09-15,2017,4.166611822684438,5.0,3.9923715077182855,4.9273518462962205,1,BR,Customer Experience,Customer,M1,246
195,2017-09-15,2017,3.492685035142108,5.0,3.2776633805689697,3.311337074668606,1,BR,Procurement,Corporate,IC1,47
196,2017-09-15,2017,,,,,0,BR,Legal,Corporate,M3,321
197,2017-09-15,2017,3.0258574489228764,5.0,2.6412574288064756,2.6845477321444173,1,BR,Data,Digital,IC4,70
199,2017-09-15,2017,3.248695547118104,5.0,3.810770305524424,3.7171430046822196,1,BR,E-commerce,Digital,IC3,310
200,2017-09-15,2017,3.2264386717966294,5.0,2.555686285660697,2.2593187884571844,1,BR,People,Corporate,IC2,298
201,2017-09-15,2017,4.769712855158764,10.0,4.963631006302455,4.65771533325243,1,BR,Sales,Retail,IC2,585
203,2017-09-15,2017,,,,,0,BR,Visual Merchandising,Retail,IC1,32
205,2017-09-15,2017,4.223525846260563,5.0,4.28608961675733,2.9781082651895017,1,BR,UX,Digital,IC4,177
206,2017-09-15,2017,4.081119168454065,5.0,2.5244323718262507,4.774409246612931,1,BR,Logistics,Supply Chain,IC1,277
207,2017-09-15,2017,3.6979073965353355,5.0,4.8142634685238175,3.8043008704389347,1,BR,Visual Merchandising,Retail,IC1,71
208,2017-09-15,2017,,,,,0,BR,Regional Operations,Retail,M2,212
210,2017-09-15,2017,4.34041788695945,10.0,4.194628242549007,5.0,1,BR,Engineering,Digital,IC4,416
212,2017-09-15,2017,,,,,0,BR,Visual Merchandising,Retail,M4,309
214,2017-09-15,2017,3.267164021294662,5.0,3.6939099149356873,3.675003043517216,1,BR,Engineering,Digital,IC2,210
215,2017-09-15,2017,3.390474863357829,5.0,2.400071561281212,3.4543717601467456,1,BR,Procurement,Corporate,IC2,138
216,2017-09-15,2017,,,,,0,BR,Customer Experience,Customer,IC2,433
217,2017-09-15,2017,3.7505674579329655,5.0,2.743778692179289,1.9664509581459344,1,BR,Visual Merchandising,Retail,IC1,142
218,2017-09-15,2017,4.1248115336479385,5.0,3.6582293873180216,3.406595612790727,1,BR,Strategy,Corporate,IC4,193
220,2017-09-15,2017,,,,,0,BR,Regional Operations,Retail,IC1,282
223,2017-09-15,2017,4.170520857225787,5.0,4.296398144528768,3.529869433054077,1,BR,Visual Merchandising,Retail,IC2,294
224,2017-09-15,2017,,,,,0,BR,Visual Merchandising,Retail,IC2,294
227,2017-09-15,2017,5.0,10.0,5.0,4.852958248265592,1,BR,Data & Analytics,Corporate,IC3,92
229,2017-09-15,2017,,,,,0,BR,Regional Operations,Retail,IC1,174
230,2017-09-15,2017,4.725635448971769,10.0,3.883171774377403,5.0,1,BR,Sales,Retail,IC1,61
232,2017-09-15,2017,3.1955646825482953,5.0,3.3684204111399016,2.548399344428026,1,BR,Data & Analytics,Corporate,IC3,92
233,2017-09-15,2017,5.0,10.0,5.0,5.0,1,BR,Visual Merchandising,Retail,M1,14
238,2017-09-15,2017,4.510461215128112,10.0,3.7944414485787297,4.683464351538844,1,BR,Visual Merchandising,Retail,IC2,273
241,2017-09-15,2017,2.6287608175979615,0.0,3.4144252609000563,2.1068262177383272,1,BR,Customer Operations,Customer,IC1,165
242,2017-09-15,2017,4.65636258277379,10.0,5.0,4.101381336913631,1,BR,Customer Service,Customer,IC2,171
243,2017-09-15,2017,4.222196592495333,5.0,4.612729180062832,4.521375745647404,1,BR,Customer Service,Customer,IC3,171
244,2017-09-15,2017,3.9041253150800257,5.0,4.078865428225452,3.2386405869291575,1,BR,Digital Marketing,Digital,IC1,172
245,2017-09-15,2017,4.362175484311763,10.0,4.459069179424686,5.0,1,BR,E-commerce,Digital,IC2,199
246,2017-09-15,2017,2.76270604333547,0.0,1.7190599434040976,3.1277007268318577,1,BR,Planning,Supply Chain,M2,10
248,2017-09-15,2017,4.209940912646788,5.0,4.091899822700825,3.4091127544068733,1,BR,Risk,Corporate,IC2,261
249,2017-09-15,2017,3.7141690346899217,5.0,4.673509998455249,3.025146169975664,1,BR,Sales,Retail,IC1,160
250,2017-09-15,2017,,,,,0,BR,Sales,Retail,IC1,399
251,2017-09-15,2017,4.1052749100308,5.0,3.9364746334524123,4.604227049789178,1,BR,Regional Operations,Retail,IC2,34
252,2017-09-15,2017,3.323242687019395,5.0,3.2966554105200276,4.648766964956099,1,BR,Customer Operations,Customer,M1,303
254,2017-09-15,2017,4.461931659530602,10.0,4.1169645556115855,4.2173631799797455,1,BR,Finance,Corporate,IC3,60
256,2017-09-15,2017,,,,,0,BR,Sales,Retail,IC1,201
258,2017-09-15,2017,,,,,0,BR,Store Operations,Retail,IC1,316
261,2017-09-15,2017,4.57281679013232,10.0,4.528894417605184,4.026325847841703,1,BR,Risk,Corporate,M2,321
262,2017-09-15,2017,,,,,0,BR,Store Operations,Retail,IC1,21
263,2017-09-15,2017,2.9117901859589246,5.0,2.53464283442174,1.152573286368213,1,BR,Customer Operations,Customer,IC1,288
264,2017-09-15,2017,4.2295983874152,5.0,2.9866351724361824,3.4797584309517076,1,BR,Visual Merchandising,Retail,M1,14
268,2017-09-15,2017,,,,,0,BR,Customer Service,Customer,IC1,242
269,2017-09-15,2017,4.597021290072984,10.0,4.2991267656268946,4.497212277720553,1,BR,Store Operations,Retail,IC1,77
270,2017-09-15,2017,5.0,10.0,4.85868575901273,5.0,1,BR,Visual Merchandising,Retail,IC2,273
272,2017-09-15,2017,4.013735768373867,5.0,3.1531581495312153,3.5123551485190507,1,BR,Visual Merchandising,Retail,IC1,479
273,2017-09-15,2017,,,,,0,BR,Visual Merchandising,Retail,IC3,140
274,2017-09-15,2017,3.498520423795287,5.0,3.0340043623941844,3.5806552447631,1,BR,Regional Operations,Retail,IC1,115
275,2017-09-15,2017,3.4026198319279413,5.0,4.048585212016313,3.4508746865590747,1,BR,Store Operations,Retail,IC1,308
276,2017-09-15,2017,,,,,0,BR,Logistics,Supply Chain,IC2,162
277,2017-09-15,2017,,,,,0,BR,Logistics,Supply Chain,IC2,162
278,2017-09-15,2017,2.601825640199224,0.0,2.1494167791314576,1.5518698188691995,1,BR,People,Corporate,IC3,327
279,2017-09-15,2017,4.0979198670948405,5.0,4.692991007369025,4.670238951554417,1,BR,Visual Merchandising,Retail,IC1,142
280,2017-09-15,2017,3.7372899079989557,5.0,3.611202688814028,4.211639861630099,1,BR,Store Operations,Retail,IC2,467
281,2017-09-15,2017,2.9358937451581246,5.0,3.437255516364701,3.5748056531428447,1,BR,E-commerce,Digital,M2,121
282,2017-09-15,2017,3.0346318797884373,5.0,3.1523545610224675,2.7936506940957737,1,BR,Regional Operations,Retail,IC2,34
283,2017-09-15,2017,3.799902066148976,5.0,4.272970737875426,2.8113274433031163,1,BR,Engineering,Digital,IC3,86
285,2017-09-15,2017,2.332517450554911,0.0,2.2806675351771277,2.5208982209046185,1,BR,Digital Marketing,Digital,IC2,420
286,2017-09-15,2017,2.231851711438739,0.0,2.460691847771911,3.012005437964472,1,BR,Procurement,Corporate,IC5,187
287,2017-09-15,2017,,,,,0,BR,Store Operations,Retail,IC2,467
288,2017-09-15,2017,4.006234728929022,5.0,2.988056984941725,3.2871683470007174,1,BR,Customer Operations,Customer,IC2,252
290,2017-09-15,2017,,,,,0,BR,Sales,Retail,IC1,42
292,2017-09-15,2017,,,,,0,BR,Sales,Retail,M2,121
294,2017-09-15,2017,,,,,0,BR,Visual Merchandising,Retail,IC3,181
295,2017-09-15,2017,,,,,0,BR,Procurement,Supply Chain,M1,10
296,2017-09-15,2017,3.4886787819859326,5.0,4.028133232778453,3.2925981910533912,1,BR,Finance,Corporate,IC2,27
297,2017-09-15,2017,2.9569357569167622,5.0,1.7126715707814686,3.5120454510840338,1,BR,Procurement,Supply Chain,IC4,295
298,2017-09-15,2017,2.838957886867999,5.0,2.8329162346993217,3.060852676119472,1,BR,People,Corporate,IC3,327
301,2017-09-15,2017,2.7173848031106185,0.0,2.869947590530451,1.5615216451842429,1,BR,Customer Experience,Customer,IC1,90
302,2017-09-15,2017,3.7299188400515453,5.0,4.526069111633533,3.669909272252551,1,BR,Procurement,Supply Chain,IC2,319
303,2017-09-15,2017,1.5802498429159635,0.0,1.4692491104234378,1.3032571521983836,1,BR,Logistics,Supply Chain,M2,10
305,2017-09-15,2017,3.0742035277366475,5.0,2.0540717038609104,2.6362231695266107,1,BR,Planning,Supply Chain,IC3,335
307,2017-09-15,2017,3.778310828706148,5.0,3.628040000716019,3.0572487600137954,1,BR,Legal,Corporate,M2,321
308,2017-09-15,2017,3.624664706057979,5.0,3.087291101744916,4.46488846133359,1,BR,Legal,Corporate,IC3,406
309,2017-09-15,2017,3.0487658495092567,5.0,4.111844457843835,1.9269501630550847,1,BR,People,Corporate,M5,62
310,2017-09-15,2017,5.0,10.0,4.539790419541203,5.0,1,BR,Customer Service,Customer,M1,578
312,2017-09-15,2017,3.724838735513727,5.0,4.526528572879017,4.467534540603337,1,BR,Sales,Retail,IC1,24
313,2017-09-15,2017,3.7709924922283573,5.0,4.189671859798671,4.126122203074677,1,BR,Procurement,Corporate,IC2,47
315,2017-09-15,2017,2.8105160773030664,5.0,3.0088412812007435,3.126266463692478,1,BR,Distribution Centers,Supply Chain,IC1,48
316,2017-09-15,2017,,,,,0,BR,Store Operations,Retail,IC3,467
318,2017-09-15,2017,,,,,0,BR,Procurement,Supply Chain,IC2,319
319,2017-09-15,2017,,,,,0,BR,Procurement,Supply Chain,IC3,297
320,2017-09-15,2017,,,,,0,BR,Customer Experience,Customer,IC1,90
321,2017-09-15,2017,3.754399208977812,5.0,3.044225781894283,3.797905697518063,1,BR,Marketing,Corporate,M4,309
322,2017-09-15,2017,3.0688683635300937,5.0,3.7403452539282314,3.0234679322780127,1,BR,Store Operations,Retail,IC1,280
323,2017-09-15,2017,3.503477063419146,5.0,2.936632079653883,4.234134681619095,1,BR,Customer Operations,Customer,IC1,165
324,2017-09-15,2017,4.342626527472251,10.0,4.84326507843129,3.9157206542264924,1,BR,Finance,Corporate,IC2,254
326,2017-09-15,2017,3.628203013244746,5.0,3.562017211440127,3.7737444517570493,1,BR,Sales,Retail,IC2,585
327,2017-09-15,2017,4.180004032598899,5.0,4.057465423305333,3.5672085929991244,1,BR,People,Corporate,M1,307
328,2017-09-15,2017,4.1486653761674654,5.0,3.201708375862146,4.651845883923643,1,BR,UX,Digital,IC1,115
330,2017-09-15,2017,,,,,0,BR,Logistics,Supply Chain,IC1,277
331,2017-09-15,2017,,,,,0,BR,Procurement,Supply Chain,IC1,515
333,2017-09-15,2017,4.6290890996445295,10.0,4.566745664070892,5.0,1,BR,Sales,Retail,IC1,26
335,2017-09-15,2017,2.4566424409482828,0.0,2.8296433118416173,3.0792945569399954,1,BR,Planning,Supply Chain,M1,246
336,2017-09-15,2017,,,,,0,AR,Store Operations,Retail,IC3,341
337,2017-09-15,2017,2.4418337970553523,0.0,2.5539621548361695,2.980899290037655,1,AR,Customer Service,Customer,IC1,344
339,2017-09-15,2017,,,,,0,AR,Distribution Centers,Supply Chain,IC3,343
341,2017-09-15,2017,2.7472573995279825,0.0,3.029369414601086,3.0746965548859397,1,AR,Sales,Retail,M1,8
342,2017-09-15,2017,3.778969138372367,5.0,3.7506616458834854,4.380285116893194,1,BR,Customer Operations,Customer,IC1,288
343,2017-09-15,2017,,,,,0,AR,Sales,Retail,M1,261
344,2017-09-15,2017,4.882917164067514,10.0,4.774661843980991,4.645914357561016,1,AR,Planning,Supply Chain,IC2,339
345,2017-09-15,2017,1.9573366788188553,0.0,1.0,2.972826265937858,1,AR,Logistics,Supply Chain,IC1,368
346,2017-09-15,2017,2.8988550589401347,5.0,3.6063867272597574,1.9312766115821773,1,AR,Sales,Retail,IC1,379
347,2017-09-15,2017,,,,,0,AR,Customer Service,Customer,IC1,401
349,2017-09-15,2017,3.78007408122607,5.0,3.759612997216449,3.873208542116631,1,AR,Regional Operations,Retail,IC1,396
352,2017-09-15,2017,3.6579459091301176,5.0,3.3682279583986356,3.524991958221263,1,AR,Marketing,Corporate,IC4,341
355,2017-09-15,2017,,,,,0,AR,Planning,Supply Chain,IC2,339
357,2017-09-15,2017,,,,,0,AR,Distribution Centers,Supply Chain,IC3,416
360,2017-09-15,2017,,,,,0,AR,Sales,Retail,IC1,396
363,2017-09-15,2017,3.1945601757088795,5.0,2.6092742140319176,3.781050552177989,1,AR,Visual Merchandising,Retail,M1,307
365,2017-09-15,2017,2.5350182290364325,0.0,2.2721060521983776,2.140280879715746,1,AR,Visual Merchandising,Retail,IC3,363
366,2017-09-15,2017,2.3469675263116208,0.0,1.1984952860694034,1.0,1,AR,Sales,Retail,IC1,379
368,2017-09-15,2017,3.0062212030547557,5.0,2.7956993903628993,2.6763449602983664,1,AR,Logistics,Supply Chain,IC2,357
373,2017-09-15,2017,2.9332291295922666,5.0,4.030116161475737,3.287377747763,1,AR,Planning,Supply Chain,IC2,339
375,2017-09-15,2017,3.786221925579722,5.0,3.419074163365668,4.95643607693878,1,AR,Store Operations,Retail,IC3,416
378,2017-09-15,2017,,,,,0,AR,Regional Operations,Retail,IC1,506
379,2017-09-15,2017,,,,,0,AR,Sales,Retail,IC2,343
380,2017-09-15,2017,3.8407265446169525,5.0,4.095318921422458,3.1835764903523254,1,AR,Store Operations,Retail,IC1,375
